split_name,model,model_family,evaluations,countries,mean_balanced_accuracy,std_balanced_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_false_alarm_rate,std_false_alarm_rate,mean_missed_event_rate,std_missed_event_rate
random_split,majority_class,baseline,1,0,0.5,,0.0,,0.0,,0.0,,0.5,,0.1317881196529337,,0.0,,1.0,
random_split,logistic_regression,linear,1,0,0.894405422568212,,0.5840089177138225,,0.8844383057090239,,0.7034912109375,,0.9578007057622328,,0.8177099931378403,,0.0956274605725999,,0.115561694290976,
random_split,decision_tree,tree,1,0,0.9005383609615039,,0.557759187893599,,0.9106813996316758,,0.6918099679393763,,0.9564999801295854,,0.8325564835047272,,0.1096046777086682,,0.0893186003683241,
random_split,random_forest,ensemble,1,0,0.9095389187202516,,0.6380421719654757,,0.896255371393493,,0.7454208947603549,,0.974000710129577,,0.8722038880195871,,0.0771775339529899,,0.103744628606507,
temporal_split,majority_class,baseline,1,0,0.5,,0.0,,0.0,,0.0,,0.5,,0.1331887201735357,,0.0,,1.0,
temporal_split,logistic_regression,linear,1,0,0.9004547317463335,,0.6132602095779062,,0.8868432233394703,,0.7251042149143122,,0.9616528654662186,,0.8313587565215789,,0.0859337598468033,,0.1131567766605296,
temporal_split,decision_tree,tree,1,0,0.905774773498892,,0.5642138146476918,,0.9208327432375016,,0.6997040624159269,,0.9583893774133488,,0.8291388626719886,,0.1092831962397179,,0.0791672567624982,
temporal_split,random_forest,ensemble,1,0,0.9148109659014628,,0.6529170931422723,,0.9034131142897608,,0.7580060602459747,,0.9760463914589762,,0.879513667108691,,0.0737911824868346,,0.0965868857102393,
leave_one_country_out,majority_class,baseline,24,24,0.5625,0.16891598117304404,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16003965902506745,0.23128579223601015,0.0,0.0,0.875,0.3378319623460881
leave_one_country_out,logistic_regression,linear,24,24,0.7239548019586876,0.1684970084903879,0.2773555156199927,0.28004627508472735,0.461538515942181,0.39542705046495225,0.3292368142741262,0.31955606765930045,0.8085856826027301,0.16451382931781938,0.3860058057193233,0.35349606518277954,0.13862891202480565,0.18144638794520096,0.413461484057819,0.3874166168830447
leave_one_country_out,decision_tree,tree,24,24,0.7116309296920912,0.14961730128366155,0.2429379656351288,0.2692998471685423,0.47669786161102157,0.3619969776880275,0.3052189778550872,0.302519914827664,0.7827088719507697,0.12680840482937666,0.3513642657954894,0.340880635197397,0.17826566513233577,0.20226546657843353,0.3983021383889785,0.3475863673094036
leave_one_country_out,random_forest,ensemble,24,24,0.708602298902442,0.16828199232424496,0.3141482958478177,0.282743154738491,0.4128430119360547,0.3875115579338696,0.34056870816754586,0.3231107537569523,0.8492998525719957,0.10551026462090672,0.39531251363900344,0.348137013266141,0.12063841413117064,0.17567103498927616,0.4621569880639453,0.3957239761350663
