target,model,held_out_country,pr_auc_base,roc_auc_base,f1_base,recall_base,precision_base,balanced_accuracy_base,false_alarm_rate_base,missed_event_rate_base,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h1,xgboost,Australia,0.0001537042729787,0.3767963211343169,0.0,0.0,0.0,0.5,0.0,1.0,0.0003096934035305,0.6907453535159992,0.0,0.0,0.0,0.5,0.0,1.0,0.00015598913055180002,0.3139490323816823,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,Bangladesh,0.9612604717100018,0.9175917106796352,0.8714606111578357,0.832708277524779,0.9139958835636578,0.8303753027835535,0.1719576719576719,0.167291722475221,0.9626909994191571,0.9220734230333302,0.8841207526736158,0.8747656040717922,0.8936781609195402,0.8231852711716985,0.228395061728395,0.1252343959282078,0.0014305277091553048,0.004481712353694989,0.012660141515780099,0.04205732654701311,-0.020317722644117575,-0.007190031611855052,0.0564373897707231,-0.04205732654701322
extreme_abs_151_h1,xgboost,Brazil,0.306085510065472,0.8249836155766186,0.0608424336973478,0.0343612334801762,0.2653061224489796,0.5124043917268208,0.0095524500265345,0.9656387665198238,0.3706115152420787,0.8925172085150687,0.1359773371104816,0.0845814977973568,0.3465703971119133,0.5342861495708878,0.0160091986555811,0.9154185022026432,0.06452600517660667,0.06753359293845007,0.07513490341313381,0.050220264317180595,0.08126427466293368,0.021881757844066985,0.006456748629046598,-0.05022026431718063
extreme_abs_151_h1,xgboost,China,0.645131707714394,0.9402884425469472,0.5486196110431116,0.8873735151781786,0.3970472440944882,0.8655729148878755,0.1562276854024278,0.1126264848218213,0.6773791153435851,0.9494423445887504,0.53675,0.9445666520017598,0.3748908678191025,0.8809847439341656,0.1825971641334285,0.0554333479982402,0.032247407629191094,0.009153902041803219,-0.011869611043111683,0.05719313682358118,-0.022156376275385692,0.015411829046290126,0.026369478731000706,-0.057193136823581105
extreme_abs_151_h1,xgboost,Egypt,0.42391247301328,0.6418539949890522,0.4313978494623656,0.3986486486486486,0.4700093720712277,0.5876316519956655,0.2233853446573178,0.6013513513513513,0.4448778760417857,0.6647096347547138,0.4253383625471489,0.3809618441971383,0.481416373681567,0.5885156840973841,0.2039304760023701,0.6190381558028617,0.02096540302850569,0.02285563976566163,-0.006059486915216683,-0.017686804451510274,0.011407001610339251,0.0008840321017186126,-0.019454868654947693,0.017686804451510385
extreme_abs_151_h1,xgboost,Ethiopia,0.5063698624906222,0.915239085104454,0.3209219858156028,0.2185990338164251,0.6033333333333334,0.6029188198572742,0.0127613941018766,0.7814009661835749,0.5250602574426408,0.9327474064576292,0.3838862559241706,0.2934782608695652,0.5547945205479452,0.6362833663597156,0.020911528150134,0.7065217391304348,0.01869039495201863,0.01750832135317526,0.06296427010856781,0.0748792270531401,-0.048538812785388186,0.03336454650244136,0.008150134048257401,-0.0748792270531401
extreme_abs_151_h1,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,India,0.9098797592433672,0.9475241524901462,0.8167849514228622,0.8002970564407237,0.8339665118896862,0.854913536270657,0.0904699838994096,0.1997029435592762,0.9181979073372356,0.9520300423437884,0.822824064502791,0.8061031596003241,0.840253342716397,0.8595416511027765,0.0870198573947711,0.1938968403996759,0.008318148093868438,0.004505889853642198,0.006039113079928771,0.005806103159600395,0.006286830826710776,0.004628114832119445,-0.0034501265046385093,-0.005806103159600312
extreme_abs_151_h1,xgboost,Indonesia,0.2098567506433415,0.6838444827147635,0.1525704809286898,0.1173469387755102,0.2180094786729857,0.5308816553402563,0.0555836280949974,0.8826530612244898,0.3012676002605891,0.7469552215782725,0.175152749490835,0.1096938775510204,0.4343434343434343,0.5454145655230258,0.0188647465049688,0.8903061224489796,0.09141084961724757,0.06311073886350904,0.022582268562145208,-0.0076530612244897905,0.2163339556704486,0.014532910182769476,-0.036718881590028604,0.007653061224489721
