target,model,temperature,metric,n_countries,local_mean,weighted_mean,mean_delta,median_delta,relative_delta_pct,countries_improved,countries_worse,countries_equal
extreme_abs_151_h3,xgboost,0.5,pr_auc,24,0.3785524161728084,0.38492447691235804,0.006372060739549621,0.0024222515324492377,1.6832703919767846,16,5,0
extreme_abs_151_h3,xgboost,0.5,roc_auc,24,0.8564829696028288,0.8659544171333783,0.009471447530549706,0.0033955805137870776,1.1058535740578517,16,5,0
extreme_abs_151_h3,xgboost,0.5,f1,24,0.25361636051173236,0.2505053054577924,-0.003111055053940008,0.0,-1.2266775880162863,5,8,11
extreme_abs_151_h3,xgboost,0.5,recall,24,0.24446536170106783,0.23831092143102536,-0.0061544402700425506,0.0,-2.517510140176095,3,10,11
extreme_abs_151_h3,xgboost,0.5,precision,24,0.3327942021990787,0.34579009960384227,0.012995897404763604,0.0,3.9050852805991525,9,4,11
extreme_abs_151_h3,xgboost,0.5,balanced_accuracy,24,0.6607116545797435,0.659092051139373,-0.0016196034403706538,0.0,-0.24513014552480225,4,11,9
extreme_abs_151_h3,xgboost,0.5,false_alarm_rate,24,0.04804205254158076,0.04512681915227954,-0.0029152333893012147,-0.0004893813735437499,-6.068086676309381,1,14,9
extreme_abs_151_h3,xgboost,0.5,missed_event_rate,24,0.6305346382989322,0.6366890785689746,0.0061544402700425315,0.0,0.9760669590882576,10,3,11
extreme_abs_151_h3,xgboost,1.0,pr_auc,24,0.3785524161728084,0.3837851000086668,0.005232683835858404,0.0009380357912662993,1.3822877922062171,14,7,0
extreme_abs_151_h3,xgboost,1.0,roc_auc,24,0.8564829696028288,0.8623139072952222,0.005830937692393433,0.0018088648423679743,0.6808001909363564,14,7,0
extreme_abs_151_h3,xgboost,1.0,f1,24,0.25361636051173236,0.25195624263706035,-0.0016601178746720711,0.0,-0.6545783841871958,6,7,11
extreme_abs_151_h3,xgboost,1.0,recall,24,0.24446536170106783,0.23933345705110898,-0.00513190464995893,0.0,-2.099235905753479,4,9,11
extreme_abs_151_h3,xgboost,1.0,precision,24,0.3327942021990787,0.342453412496897,0.009659210297818334,0.0,2.9024575049658345,9,4,11
extreme_abs_151_h3,xgboost,1.0,balanced_accuracy,24,0.6607116545797435,0.6594247481377505,-0.0012869064419929789,0.0,-0.19477580470584205,6,10,8
extreme_abs_151_h3,xgboost,1.0,false_alarm_rate,24,0.04804205254158076,0.04548396077560781,-0.002558091765972943,-4.071329696278805e-05,-5.324692910984382,4,12,8
extreme_abs_151_h3,xgboost,1.0,missed_event_rate,24,0.6305346382989322,0.6356665429488911,0.005131904649958945,0.0,0.8138973401689542,9,4,11
extreme_abs_151_h3,xgboost,2.0,pr_auc,24,0.3785524161728084,0.380788578940707,0.002236162767898602,0.0001290068826086399,0.5907141712385211,12,9,0
extreme_abs_151_h3,xgboost,2.0,roc_auc,24,0.8564829696028288,0.86159026928053,0.0051072996777012354,0.0006876374977640154,0.596310710073968,12,9,0
extreme_abs_151_h3,xgboost,2.0,f1,24,0.25361636051173236,0.2513506211954855,-0.0022657393162468756,0.0,-0.8933726955450344,4,9,11
extreme_abs_151_h3,xgboost,2.0,recall,24,0.24446536170106783,0.24074214806952032,-0.0037232136315475746,0.0,-1.5230025250367858,4,9,11
extreme_abs_151_h3,xgboost,2.0,precision,24,0.3327942021990787,0.33297532770456145,0.00018112550548278714,0.0,0.05442567937960566,7,6,11
extreme_abs_151_h3,xgboost,2.0,balanced_accuracy,24,0.6607116545797435,0.6594149175026413,-0.0012967370771023768,0.0,-0.19626369053943626,7,9,8
extreme_abs_151_h3,xgboost,2.0,false_alarm_rate,24,0.04804205254158076,0.046912313064237925,-0.0011297394773428344,0.0,-2.3515637188170433,6,10,8
extreme_abs_151_h3,xgboost,2.0,missed_event_rate,24,0.6305346382989322,0.6342578519304797,0.0037232136315475737,0.0,0.5904851859672813,9,4,11
