target,model,regime,threshold,precision,recall
extreme_abs_151_h3,xgboost,country_class_balanced,0.68,0.722015650147067,0.6091536930820555
extreme_abs_151_h3,xgboost,country_class_balanced,0.69,0.727687554913131,0.6010769050684771
extreme_abs_151_h3,xgboost,country_class_balanced,0.7,0.7338550724637681,0.5927191852979047
extreme_abs_151_h3,xgboost,country_class_balanced,0.71,0.7404188419553868,0.5843614655273324
extreme_abs_151_h3,xgboost,country_class_balanced,0.72,0.7462935451596276,0.5762612665340044
extreme_abs_151_h3,xgboost,country_class_balanced,0.73,0.7525760397268777,0.5676694369659371
extreme_abs_151_h3,xgboost,country_class_balanced,0.74,0.758297602032714,0.5589371415193726
extreme_abs_151_h3,xgboost,country_class_balanced,0.75,0.7655455612045365,0.5499239143158141
extreme_abs_151_h3,xgboost,country_class_balanced,0.76,0.7732811140121845,0.5408170431932576
extreme_abs_151_h3,xgboost,country_class_balanced,0.77,0.7803778519563647,0.5308907877794685
extreme_abs_151_h3,xgboost,country_class_balanced,0.78,0.7870010596962204,0.5215966288189161
extreme_abs_151_h3,xgboost,country_class_balanced,0.79,0.7948587426826165,0.5117874283038745
extreme_abs_151_h3,xgboost,country_class_balanced,0.8,0.8023864741527643,0.5021889266065784
extreme_abs_151_h3,xgboost,country_class_balanced,0.81,0.8102890173410404,0.49226267119278944
extreme_abs_151_h3,xgboost,country_class_balanced,0.82,0.818445867982334,0.48156385344726677
extreme_abs_151_h3,xgboost,country_class_balanced,0.83,0.8281121187139324,0.4703265831675056
extreme_abs_151_h3,xgboost,country_class_balanced,0.84,0.8378736689047599,0.4586679152522533
extreme_abs_151_h3,xgboost,country_class_balanced,0.85,0.8465582535085765,0.4448320262202973
extreme_abs_151_h3,xgboost,country_class_balanced,0.86,0.8568896352271668,0.43005969799836125
extreme_abs_151_h3,xgboost,country_class_balanced,0.87,0.866581956797967,0.4151234929181786
extreme_abs_151_h3,xgboost,country_class_balanced,0.88,0.8762806981413788,0.39845487533653284
extreme_abs_151_h3,xgboost,country_class_balanced,0.89,0.8862461220268872,0.3812009832611495
extreme_abs_151_h3,xgboost,country_class_balanced,0.9,0.8990969086488364,0.3635959264895236
extreme_abs_151_h3,xgboost,country_class_balanced,0.91,0.9100654409473357,0.34184712630223574
extreme_abs_151_h3,xgboost,country_class_balanced,0.92,0.9242249508174479,0.3189511881072223
extreme_abs_151_h3,xgboost,country_class_balanced,0.93,0.9367202091893911,0.29352686409926254
extreme_abs_151_h3,xgboost,country_class_balanced,0.94,0.9483046600968765,0.26583167505560107
extreme_abs_151_h3,xgboost,country_class_balanced,0.95,0.9603456553048487,0.23415661945452418
extreme_abs_151_h3,xgboost,country_class_balanced,0.96,0.969209716045159,0.1989699168910219
extreme_abs_151_h3,xgboost,country_class_balanced,0.97,0.978984238178634,0.15704085215966287
extreme_abs_151_h3,xgboost,country_class_balanced,0.98,0.9862355254533537,0.10567716258925436
extreme_abs_151_h3,xgboost,country_class_balanced,0.99,0.9943152454780362,0.045042725038042845
extreme_abs_151_h3,xgboost,country_class_balanced,1.0,0.0,0.0
extreme_abs_151_h3,xgboost,local_features,0.0,0.1314287472500423,1.0
extreme_abs_151_h3,xgboost,local_features,0.01,0.2774808656637635,0.9845487533653283
