target,model,held_out_country,pr_auc_base,roc_auc_base,f1_base,recall_base,precision_base,balanced_accuracy_base,false_alarm_rate_base,missed_event_rate_base,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta,observations,events,event_prevalence,city_count,aqi_mean,aqi_std,aqi_p90,aqi_p95,aqi_mean_abs_smd_vs_global,aqi_seasonal_amplitude,profile_shift_smd_mean,profile_shift_smd_max,experiment
extreme_abs_151_h1,xgboost,Australia,0.0001537042729787,0.3767963211343169,0.0,0.0,0.0,0.5,0.0,1.0,0.0003096934035305,0.6907453535159992,0.0,0.0,0.0,0.5,0.0,1.0,0.0001559891305518,0.3139490323816823,0.0,0.0,0.0,0.0,0.0,0.0,10439,1.0,9.579461634256155e-05,73,34.984002299070795,15.823515091499845,48.0,65.0,0.8378622025806486,8.154109589041092,0.6486707440189949,1.0456721461117602,XGBoost h=1
extreme_abs_151_h1,xgboost,Bangladesh,0.9612604717100018,0.9175917106796352,0.8714606111578357,0.832708277524779,0.9139958835636578,0.8303753027835535,0.1719576719576719,0.167291722475221,0.9626909994191571,0.9220734230333302,0.8841207526736158,0.8747656040717922,0.8936781609195402,0.8231852711716985,0.228395061728395,0.1252343959282078,0.0014305277091553,0.0044817123536949,0.01266014151578,0.0420573265470131,-0.0203177226441175,-0.007190031611855,0.0564373897707231,-0.0420573265470132,10868,7466.0,0.686970923813029,76,183.49116672800884,89.91352253241237,312.0,389.0,1.6148344665948722,146.13157894736844,1.0957651761099267,1.7768712400103903,XGBoost h=1
extreme_abs_151_h1,xgboost,Brazil,0.306085510065472,0.8249836155766186,0.0608424336973478,0.0343612334801762,0.2653061224489796,0.5124043917268208,0.0095524500265345,0.9656387665198238,0.3706115152420787,0.8925172085150687,0.1359773371104816,0.0845814977973568,0.3465703971119133,0.5342861495708878,0.0160091986555811,0.9154185022026432,0.0645260051766066,0.06753359293845,0.0751349034131338,0.0502202643171805,0.0812642746629336,0.0218817578440669,0.0064567486290465,-0.0502202643171806,12441,1135.0,0.09123060847198779,87,77.27409372236959,46.222109292983355,138.0,170.0,0.1394126242595542,66.98563218390805,0.28377232542249664,0.7651875734729425,XGBoost h=1
extreme_abs_151_h1,xgboost,China,0.645131707714394,0.9402884425469472,0.5486196110431116,0.8873735151781786,0.3970472440944882,0.8655729148878755,0.1562276854024278,0.1126264848218213,0.6773791153435851,0.9494423445887504,0.53675,0.9445666520017598,0.3748908678191025,0.8809847439341656,0.1825971641334285,0.0554333479982402,0.032247407629191,0.0091539020418032,-0.0118696110431116,0.0571931368235811,-0.0221563762753856,0.0154118290462901,0.0263694787310007,-0.0571931368235811,21879,2273.0,0.10388957447780978,153,83.12432012432012,50.92064823378783,153.0,189.0,0.04279216244437482,75.72355912061795,0.3141366940596507,0.5488632368981105,XGBoost h=1
extreme_abs_151_h1,xgboost,Egypt,0.42391247301328,0.6418539949890522,0.4313978494623656,0.3986486486486486,0.4700093720712277,0.5876316519956655,0.2233853446573178,0.6013513513513513,0.4448778760417857,0.6647096347547138,0.4253383625471489,0.3809618441971383,0.481416373681567,0.5885156840973841,0.2039304760023701,0.6190381558028617,0.0209654030285056,0.0228556397656616,-0.0060594869152166,-0.0176868044515102,0.0114070016103392,0.0008840321017186,-0.0194548686549476,0.0176868044515103,15158,5032.0,0.33196991687557725,106,120.93290671592558,37.64017172237268,164.0,170.0,0.581642320269343,31.041666666666657,0.740603011930592,1.3820517752717532,XGBoost h=1
extreme_abs_151_h1,xgboost,Ethiopia,0.5063698624906222,0.915239085104454,0.3209219858156028,0.2185990338164251,0.6033333333333334,0.6029188198572742,0.0127613941018766,0.7814009661835749,0.5250602574426408,0.9327474064576292,0.3838862559241706,0.2934782608695652,0.5547945205479452,0.6362833663597156,0.020911528150134,0.7065217391304348,0.0186903949520186,0.0175083213531752,0.0629642701085678,0.0748792270531401,-0.0485388127853881,0.0333645465024413,0.0081501340482574,-0.0748792270531401,10153,828.0,0.08155225056633507,71,82.69742933123214,36.95038590873872,139.0,157.0,0.04984255378633324,50.56455399061033,0.307458873118293,0.9075303102775173,XGBoost h=1
extreme_abs_151_h1,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11583,0.0,0.0,81,59.0981610981611,24.39005084978576,92.0,95.0,0.4396004945079742,14.218761690983918,0.40346692468793477,0.6955961475549335,XGBoost h=1
extreme_abs_151_h1,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10439,0.0,0.0,71,49.73167927962449,18.238434414944763,70.0,78.0,0.5942943023559496,2.2465753424657535,0.3767540981685167,0.5942943023559496,XGBoost h=1
extreme_abs_151_h1,xgboost,India,0.9098797592433672,0.9475241524901462,0.8167849514228622,0.8002970564407237,0.8339665118896862,0.854913536270657,0.0904699838994096,0.1997029435592762,0.9181979073372356,0.9520300423437884,0.822824064502791,0.8061031596003241,0.840253342716397,0.8595416511027765,0.0870198573947711,0.1938968403996759,0.0083181480938684,0.0045058898536421,0.0060391130799287,0.0058061031596003,0.0062868308267107,0.0046281148321194,-0.0034501265046385,-0.0058061031596003,20449,7406.0,0.3621692992322363,142,139.55469705120055,112.1311888585646,322.0,345.0,0.8891938333902405,140.62126509853783,0.487228519238666,0.8891938333902405,XGBoost h=1
extreme_abs_151_h1,xgboost,Indonesia,0.2098567506433415,0.6838444827147635,0.1525704809286898,0.1173469387755102,0.2180094786729857,0.5308816553402563,0.0555836280949974,0.8826530612244898,0.3012676002605891,0.7469552215782725,0.175152749490835,0.1096938775510204,0.4343434343434343,0.5454145655230258,0.0188647465049688,0.8903061224489796,0.0914108496172475,0.063110738863509,0.0225822685621452,-0.0076530612244897,0.2163339556704486,0.0145329101827694,-0.0367188815900286,0.0076530612244897,13442,1568.0,0.11664930813866985,94,90.92902841839012,53.636023585348006,159.0,188.0,0.08610789507380594,67.65070921985817,0.31697316229111266,1.1512710135702595,XGBoost h=1
extreme_abs_151_h1,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22594,0.0,0.0,158,51.507966716827475,19.930553827655768,77.0,87.0,0.5649577090846478,26.704689298043732,0.489785362465727,0.6366722269567895,XGBoost h=1
extreme_abs_151_h1,xgboost,Mexico,0.5926322972669542,0.8890100458625605,0.5963574756459128,0.5837479270315091,0.6095238095238096,0.7720550146670992,0.0396378976973105,0.4162520729684908,0.6296423695269641,0.9230134701776754,0.6086214255228339,0.5912106135986733,0.6270888302550571,0.776972858214348,0.0372648971699771,0.4087893864013267,0.0370100722600098,0.0340034243151149,0.0122639498769211,0.0074626865671642,0.0175650207312475,0.0049178435472487,-0.0023730005273333,-0.007462686567164,12584,1206.0,0.09583598219961856,88,87.57390336935792,36.595906502155344,147.0,161.0,0.030695726481991495,46.05940082644628,0.25478445192069893,0.92975726312256,XGBoost h=1
extreme_abs_151_h1,xgboost,Nigeria,0.8860236767727272,0.9212135888180676,0.8013629480060576,0.7896045759761253,0.8134768127081732,0.8367943198605726,0.11601593625498,0.2103954240238746,0.8941150990082146,0.9267399538875092,0.8084354085111757,0.7960706291967172,0.8211903540277066,0.8424974659927809,0.1110756972111553,0.2039293708032827,0.0080914222354874,0.0055263650694415,0.0070724605051181,0.0064660532205919,0.0077135413195333,0.0057031461322082,-0.0049402390438246,-0.0064660532205919,10296,4021.0,0.39054001554001555,72,125.91025641025641,61.22455985290098,188.0,218.0,0.6638466305027972,85.16550925925925,0.4903208665065049,0.8457045045239795,XGBoost h=1
extreme_abs_151_h1,xgboost,Pakistan,0.9741075934702252,0.8961048982387687,0.865247397356416,0.7980364656381487,0.9448205390215864,0.7925093570794294,0.2130177514792899,0.2019635343618513,0.976860154858156,0.9060630140169464,0.893740077114992,0.8502535332829863,0.9419146647543922,0.8053042814343925,0.2396449704142011,0.1497464667170137,0.0027525613879307,0.0099581157781777,0.028492679758576,0.0522170676448375,-0.0029058742671941,0.0127949243549631,0.0266272189349112,-0.0522170676448376,11297,9269.0,0.8204833141542003,79,186.65220855094273,75.12754530587299,268.0,342.1999999999989,1.667041218909131,118.78538550057536,1.1995455294687656,1.9061738729319602,XGBoost h=1
extreme_abs_151_h1,xgboost,Philippines,0.0508581025820805,0.8995179667570987,0.0310880829015544,0.0211267605633802,0.0588235294117647,0.5093731402499504,0.0023804800634794,0.9788732394366196,0.0664000025992027,0.9104752997253508,0.0134228187919463,0.0070422535211267,0.1428571428571428,0.5033723467565959,0.0002975600079349,0.9929577464788732,0.0155419000171222,0.010957332968252,-0.0176652641096081,-0.0140845070422535,0.0840336134453781,-0.0060007934933544,-0.0020829200555445,0.0140845070422536,20306,142.0,0.006993006993006993,142,61.8522604156407,27.55133265584225,95.0,110.0,0.39411467401886846,17.16490610328639,0.4372644348775525,1.3805897685497122,XGBoost h=1
extreme_abs_151_h1,xgboost,Russia,0.790890852305308,0.955695366528849,0.7169642857142857,0.652315190901706,0.7958374628344896,0.8166037507240187,0.0191076894536684,0.3476848090982941,0.8298457867627407,0.962801619209894,0.7592425608656447,0.6839967506092608,0.8530901722391084,0.8352735816862277,0.0134495872368054,0.3160032493907392,0.0389549344574327,0.007106252681045,0.0422782751513589,0.0316815597075548,0.0572527094046187,0.0186698309622089,-0.0056581022168629,-0.0316815597075548,12012,1231.0,0.10248085248085248,84,81.72943722943722,54.0141230687215,152.0,179.0,0.06582960069407137,42.516865079365076,0.22629564539827726,0.587247281473581,XGBoost h=1
