split_name,target,held_out_country,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc,feature_set,n_features
leave_one_country_out,extreme_abs_151_h1,Australia,xgboost,boosting,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.3767963211343169,0.0001537042729787,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Bangladesh,xgboost,boosting,test,10868,7466,0.686970923813029,0.8312476996687523,0.8303753027835535,0.9139958835636578,0.832708277524779,0.8714606111578357,0.8129397324669736,2817,585,1249,6217,0.1719576719576719,0.167291722475221,0.9175917106796352,0.9612604717100018,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Brazil,xgboost,boosting,test,12441,1135,0.0912306084719877,0.9032232135680412,0.5124043917268208,0.2653061224489796,0.0343612334801762,0.0608424336973478,0.5049127422724028,11198,108,1096,39,0.0095524500265345,0.9656387665198238,0.8249836155766186,0.306085510065472,base_all_features,
leave_one_country_out,extreme_abs_151_h1,China,xgboost,boosting,test,21879,2273,0.1038895744778097,0.848302024772613,0.8655729148878755,0.3970472440944882,0.8873735151781786,0.5486196110431116,0.7287254077739937,16543,3063,256,2017,0.1562276854024278,0.1126264848218213,0.9402884425469472,0.645131707714394,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Egypt,xgboost,boosting,test,15158,5032,0.3319699168755772,0.65114131151867,0.5876316519956655,0.4700093720712277,0.3986486486486486,0.4313978494623656,0.5898900172321344,7864,2262,3026,2006,0.2233853446573178,0.6013513513513513,0.6418539949890522,0.42391247301328,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Ethiopia,xgboost,boosting,test,10153,828,0.081552250566335,0.924554318920516,0.6029188198572742,0.6033333333333334,0.2185990338164251,0.3209219858156028,0.6404901930329447,9206,119,647,181,0.0127613941018766,0.7814009661835749,0.915239085104454,0.5063698624906222,base_all_features,
leave_one_country_out,extreme_abs_151_h1,France,xgboost,boosting,test,11583,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583,0,0,0,0.0,0.0,,,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Germany,xgboost,boosting,test,10439,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10439,0,0,0,0.0,0.0,,,base_all_features,
leave_one_country_out,extreme_abs_151_h1,India,xgboost,boosting,test,20449,7406,0.3621692992322363,0.8699691916475133,0.854913536270657,0.8339665118896862,0.8002970564407237,0.8167849514228622,0.8580039974093656,11863,1180,1479,5927,0.0904699838994096,0.1997029435592762,0.9475241524901462,0.9098797592433672,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Indonesia,xgboost,boosting,test,13442,1568,0.1166493081386698,0.8479392947478054,0.5308816553402563,0.2180094786729857,0.1173469387755102,0.1525704809286898,0.5345232267343678,11214,660,1384,184,0.0555836280949974,0.8826530612244898,0.6838444827147635,0.2098567506433415,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Japan,xgboost,boosting,test,22594,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22594,0,0,0,0.0,0.0,,,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Mexico,xgboost,boosting,test,12584,1206,0.0958359821996185,0.9242689129052766,0.7720550146670992,0.6095238095238096,0.5837479270315091,0.5963574756459128,0.77728602944395,10927,451,502,704,0.0396378976973105,0.4162520729684908,0.8890100458625605,0.5926322972669542,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Nigeria,xgboost,boosting,test,10296,4021,0.3905400155400155,0.8471250971250971,0.8367943198605726,0.8134768127081732,0.7896045759761253,0.8013629480060576,0.8385564345334993,5547,728,846,3175,0.11601593625498,0.2103954240238746,0.9212135888180676,0.8860236767727272,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Pakistan,xgboost,boosting,test,11297,9269,0.8204833141542003,0.7960520492166062,0.7925093570794294,0.9448205390215864,0.7980364656381487,0.865247397356416,0.7230167117786447,1596,432,1872,7397,0.2130177514792899,0.2019635343618513,0.8961048982387687,0.9741075934702252,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Philippines,xgboost,boosting,test,20306,142,0.0069930069930069,0.9907908992416036,0.5093731402499504,0.0588235294117647,0.0211267605633802,0.0310880829015544,0.5132307729384439,20116,48,139,3,0.0023804800634794,0.9788732394366196,0.8995179667570987,0.0508581025820805,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Russia,xgboost,boosting,test,12012,1231,0.1024808524808524,0.9472194472194472,0.8166037507240187,0.7958374628344896,0.652315190901706,0.7169642857142857,0.843930178112376,10575,206,428,803,0.0191076894536684,0.3476848090982941,0.955695366528849,0.790890852305308,base_all_features,
leave_one_country_out,extreme_abs_151_h1,Saudi Arabia,xgboost,boosting,test,10725,135,0.0125874125874125,0.9853613053613054,0.498961284230406,0.0,0.0,0.0,0.4963133424129995,10568,22,135,0,0.0020774315391879,1.0,0.6252481376560697,0.0247883192109361,base_all_features,
leave_one_country_out,extreme_abs_151_h1,South Africa,xgboost,boosting,test,10725,61,0.0056876456876456,0.9943123543123544,0.5,0.0,0.0,0.0,0.4985740333816447,10664,0,61,0,0.0,1.0,0.9309243294430164,0.0968581608067342,base_all_features,
leave_one_country_out,extreme_abs_151_h1,South Korea,xgboost,boosting,test,12584,130,0.0103305785123966,0.9895899554990464,0.4999598522563032,0.0,0.0,0.0,0.4973838718696329,12453,1,130,0,8.029548739360848e-05,1.0,0.8164896048226705,0.0607239127022417,base_all_features,
