target,model,regime,threshold,rows,events,predicted_alerts,tp,fp,fn,tn,precision,recall,f1,false_alarm_rate,false_alerts_per_100_city_months,alerts_per_100_city_months,missed_events_per_100_events
extreme_abs_151_h3,xgboost,country_class_balanced,0.1,325005,42715,114402,41116,73286,1599,209004,0.3593993112008531,0.9625658433805455,0.523380665364028,0.25961245527648874,22.549191550899216,35.20007384501777,3.7434156619454524
extreme_abs_151_h3,xgboost,country_class_balanced,0.11,325005,42715,110406,40964,69442,1751,212848,0.37103055993333695,0.959007374458621,0.5350539769202134,0.24599525310850542,21.36644051629975,33.970554299164625,4.099262554137891
extreme_abs_151_h3,xgboost,country_class_balanced,0.12,325005,42715,106898,40817,66081,1898,216209,0.3818312784149376,0.9555659604354442,0.5456344034275096,0.23408905735236812,20.33230257996031,32.8911862894417,4.443403956455578
extreme_abs_151_h3,xgboost,country_class_balanced,0.13,325005,42715,103747,40648,63099,2067,219191,0.39179928094306343,0.9516095048577783,0.555065477734839,0.22352545254879733,19.414778234181014,31.9216627436501,4.83904951422217
extreme_abs_151_h3,xgboost,country_class_balanced,0.14,325005,42715,100815,40506,60309,2209,221981,0.4017854485939592,0.948285145733349,0.5644255556329687,0.21364199936235787,18.556329902616884,31.019522776572668,5.171485426665106
extreme_abs_151_h3,xgboost,country_class_balanced,0.15,325005,42715,98118,40340,57778,2375,224512,0.41113760981675124,0.9443989230949316,0.57287709556709,0.2046760423677778,17.77757265272842,30.189689389394008,5.560107690506848
extreme_abs_151_h3,xgboost,country_class_balanced,0.16,325005,42715,95681,40160,55521,2555,226769,0.41972805468170277,0.9401849467400211,0.5803635943235353,0.1966807184101456,17.083121798126182,29.439854771465054,5.981505325997893
extreme_abs_151_h3,xgboost,country_class_balanced,0.17,325005,42715,93415,40000,53415,2715,228875,0.4281967564095702,0.9364391899801007,0.5876735473444502,0.18922030535973644,16.435131767203583,28.74263472869648,6.356081001989933
extreme_abs_151_h3,xgboost,country_class_balanced,0.18,325005,42715,91283,39839,51444,2876,230846,0.4364339471752681,0.9326700222404307,0.5946208152360484,0.18223812391512276,15.828679558776019,28.08664482084891,6.732997775956924
extreme_abs_151_h3,xgboost,country_class_balanced,0.19,325005,42715,89236,39648,49588,3067,232702,0.4443049890178852,0.9281985251082758,0.6009503527824723,0.17566332494952,15.257611421362748,27.45680835679451,7.1801474891724215
