target,feature,importance,group
extreme_abs_151_h3,PM10_lag_2,0.012457799715893853,lag
extreme_abs_151_h3,AQI_roll_max_3,0.011623097891164263,rolling
extreme_abs_151_h3,deforestation_aug_oct,0.011446376573745561,interaction
extreme_abs_151_h3,month_cos,0.011348224994430018,calendar
extreme_abs_151_h3,AQI_lag_1,0.010138328212832904,lag
extreme_abs_151_h3,AQI_lag_12,0.009605606666498104,lag
extreme_abs_151_h3,Benzene (ug/m3),0.00928210446556816,current_pollutant
extreme_abs_151_h3,Toluene (ug/m3),0.009256703964399305,current_pollutant
extreme_abs_151_h3,AQI_lag_3,0.009101192231435368,lag
extreme_abs_151_h3,PM10_lag_3,0.008912838373328453,lag
extreme_abs_151_h3,PM25_lag_2,0.008847448984714228,lag
extreme_abs_151_h3,industry_NO2,0.00822832035383745,interaction
extreme_abs_151_h3,PM25_lag_1,0.006874387938703954,lag
extreme_abs_151_h3,Xylene (ug/m3),0.006287488173735085,current_pollutant
extreme_abs_151_h3,is_aug_oct,0.006175440914550466,calendar
extreme_abs_151_h3,NO2 (ug/m3),0.0058387484376788545,current_pollutant
extreme_abs_151_h3,Humidity (%),0.005810198734452343,current_meteorology
extreme_abs_151_h3,Industry_Growth_%,0.005372323623701084,current_socio_environmental
extreme_abs_151_h3,NO (ug/m3),0.005277415228887028,current_pollutant
extreme_abs_151_h3,AQI_roll_std_6,0.00454080396161935,rolling
extreme_abs_151_h3,O3_lag_1,0.004084641965449723,lag
extreme_abs_151_h3,NO2_lag_1,0.004038652914665172,lag
extreme_abs_151_h3,SO2_lag_1,0.0039593543869271145,lag
extreme_abs_151_h3,NOx (ppb),0.0039223917625418854,current_pollutant
extreme_abs_151_h3,PM25_PM10_ratio,0.003913843211999114,interaction
extreme_abs_151_h3,CO_lag_1,0.0036663339647304673,lag
extreme_abs_151_h3,Wind_Speed_lag_1,0.0033912276923471346,lag
extreme_abs_151_h3,O3 (ug/m3),0.0032751939160265966,current_pollutant
extreme_abs_151_h3,is_dec_feb,0.003208084417470569,calendar
extreme_abs_151_h3,PM25_lag_3,0.00309315682939065,lag
extreme_abs_151_h3,Wind_Speed (km/h),0.0029782124524397537,current_meteorology
extreme_abs_151_h3,PM10_roll_std_3,0.002914093168760475,rolling
extreme_abs_151_h3,AQI_lag_2,0.0028748963181460105,lag
extreme_abs_151_h3,AQI_trend_3,0.002422930568903527,rolling
extreme_abs_151_h3,PM25_roll_std_3,0.0024010121394225886,rolling
extreme_abs_151_h3,AQI_roll_std_3,0.0021113982462582994,rolling
extreme_abs_151_h3,AQI_delta_1,0.0020768333855568813,rolling
extreme_abs_151_h3,time_index_months,0.0019902308094541894,calendar
extreme_abs_151_h3,year,0.0007847323100633978,calendar
