model,random_balanced_accuracy,temporal_balanced_accuracy,loco_balanced_accuracy,drop_random_to_loco_balanced_accuracy,drop_temporal_to_loco_balanced_accuracy,relative_drop_random_to_loco_balanced_accuracy,relative_drop_temporal_to_loco_balanced_accuracy,random_precision,temporal_precision,loco_precision,drop_random_to_loco_precision,drop_temporal_to_loco_precision,relative_drop_random_to_loco_precision,relative_drop_temporal_to_loco_precision,random_recall,temporal_recall,loco_recall,drop_random_to_loco_recall,drop_temporal_to_loco_recall,relative_drop_random_to_loco_recall,relative_drop_temporal_to_loco_recall,random_f1,temporal_f1,loco_f1,drop_random_to_loco_f1,drop_temporal_to_loco_f1,relative_drop_random_to_loco_f1,relative_drop_temporal_to_loco_f1,random_roc_auc,temporal_roc_auc,loco_roc_auc,drop_random_to_loco_roc_auc,drop_temporal_to_loco_roc_auc,relative_drop_random_to_loco_roc_auc,relative_drop_temporal_to_loco_roc_auc,random_pr_auc,temporal_pr_auc,loco_pr_auc,drop_random_to_loco_pr_auc,drop_temporal_to_loco_pr_auc,relative_drop_random_to_loco_pr_auc,relative_drop_temporal_to_loco_pr_auc,random_false_alarm_rate,temporal_false_alarm_rate,loco_false_alarm_rate,drop_random_to_loco_false_alarm_rate,drop_temporal_to_loco_false_alarm_rate,relative_drop_random_to_loco_false_alarm_rate,relative_drop_temporal_to_loco_false_alarm_rate,random_missed_event_rate,temporal_missed_event_rate,loco_missed_event_rate,drop_random_to_loco_missed_event_rate,drop_temporal_to_loco_missed_event_rate,relative_drop_random_to_loco_missed_event_rate,relative_drop_temporal_to_loco_missed_event_rate
decision_tree,0.9005383609615039,0.905774773498892,0.7116309296920912,0.18890743126941267,0.19414384380680083,0.20977166488245588,0.21434008705811933,0.557759187893599,0.5642138146476918,0.2429379656351288,0.3148212222584702,0.321275849012563,0.5644393298968426,0.5694221599539797,0.9106813996316758,0.9208327432375016,0.47669786161102157,0.43398353802065426,0.44413488162648007,0.47654815196201267,0.4823187325691443,0.6918099679393763,0.6997040624159269,0.3052189778550872,0.3865909900842891,0.39448508456083964,0.5588109567657549,0.5637884725133193,0.9564999801295854,0.9583893774133488,0.7827088719507697,0.1737911081788157,0.17568050546257918,0.18169483720770252,0.18330806831011964,0.8325564835047272,0.8291388626719886,0.3513642657954894,0.4811922177092378,0.47777459687649915,0.5779694558183158,0.5762298915007065,0.1096046777086682,0.1092831962397179,0.17826566513233577,-0.06866098742366757,-0.06898246889261787,-0.6264421269151493,-0.631226677716321,0.0893186003683241,0.0791672567624982,0.3983021383889785,-0.30898353802065437,-0.3191348816264803,-3.459341466911657,-4.031147404587797
random_forest,0.9095389187202516,0.9148109659014628,0.708602298902442,0.20093661981780964,0.20620866699902085,0.220921409388983,0.22541123213998754,0.6380421719654757,0.6529170931422723,0.3141482958478177,0.323893876117658,0.3387687972944546,0.5076370972782405,0.5188542325704375,0.896255371393493,0.9034131142897608,0.4128430119360547,0.48341235945743827,0.4905701023537061,0.5393689955864157,0.5430185754380809,0.7454208947603549,0.7580060602459747,0.34056870816754586,0.404852186592809,0.41743735207842886,0.5431189136748907,0.5507045048465304,0.974000710129577,0.9760463914589762,0.8492998525719957,0.12470085755758131,0.1267465388869805,0.1280295345380104,0.12985708465918522,0.8722038880195871,0.879513667108691,0.39531251363900344,0.4768913743805837,0.4842011534696876,0.5467659350423282,0.5505328360177143,0.0771775339529899,0.0737911824868346,0.12063841413117064,-0.04346088017818074,-0.046847231644336046,-0.5631286457617767,-0.6348621890250135,0.103744628606507,0.0965868857102393,0.4621569880639453,-0.35841235945743827,-0.365570102353706,-3.454755819858978,-3.7848834204098525
logistic_regression,0.894405422568212,0.9004547317463335,0.7239548019586876,0.17045062060952443,0.17649992978764595,0.19057422541121163,0.19601199656682755,0.5840089177138225,0.6132602095779062,0.2773555156199927,0.30665340209382974,0.33590469395791345,0.5250834238871962,0.5477359996812926,0.8844383057090239,0.8868432233394703,0.461538515942181,0.42289978976684295,0.4253047073972893,0.47815634740946533,0.479571469008665,0.7034912109375,0.7251042149143122,0.3292368142741262,0.3742543966633738,0.395867400640186,0.5319958385331178,0.5459455241023069,0.9578007057622328,0.9616528654662186,0.8085856826027301,0.14921502315950264,0.15306718286348853,0.1557892182181626,0.15917093200702945,0.8177099931378403,0.8313587565215789,0.3860058057193233,0.431704187418517,0.44535295080225556,0.527942902791143,0.5356928610045811,0.0956274605725999,0.0859337598468033,0.13862891202480565,-0.043001451452205755,-0.052695152178002344,-0.4496768103505087,-0.6132066404628818,0.115561694290976,0.1131567766605296,0.413461484057819,-0.297899789766843,-0.3003047073972894,-2.5778420054724434,-2.653881775885184
majority_class,0.5,0.5,0.5625,-0.0625,-0.0625,-0.125,-0.125,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.1317881196529337,0.1331887201735357,0.16003965902506745,-0.02825153937213376,-0.026850938851531753,-0.2143709117827516,-0.20160069724032811,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.875,0.125,0.125,0.125,0.125
