target,target_type,severity,horizon,split_name,model,model_family,rows,event_rate,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,false_alarm_rate,missed_event_rate
extreme_abs_151_h1,absolute,151,1,random_split,random_forest,ensemble,49443.0,0.1317881196529337,0.9095389187202516,0.6380421719654757,0.896255371393493,0.7454208947603549,0.974000710129577,0.8722038880195871,0.0771775339529899,0.103744628606507
extreme_abs_151_h1,absolute,151,1,random_split,decision_tree,tree,49443.0,0.1317881196529337,0.9005383609615039,0.557759187893599,0.9106813996316758,0.6918099679393763,0.9564999801295854,0.8325564835047272,0.1096046777086682,0.0893186003683241
extreme_abs_151_h1,absolute,151,1,random_split,logistic_regression,linear,49443.0,0.1317881196529337,0.894405422568212,0.5840089177138225,0.8844383057090239,0.7034912109375,0.9578007057622328,0.8177099931378403,0.0956274605725999,0.115561694290976
extreme_abs_151_h1,absolute,151,1,random_split,majority_class,baseline,49443.0,0.1317881196529337,0.5,0.0,0.0,0.0,0.5,0.1317881196529337,0.0,1.0
extreme_abs_151_h1,absolute,151,1,temporal_split,random_forest,ensemble,53015.0,0.1331887201735357,0.9148109659014628,0.6529170931422723,0.9034131142897608,0.7580060602459747,0.9760463914589762,0.879513667108691,0.0737911824868346,0.0965868857102393
extreme_abs_151_h1,absolute,151,1,temporal_split,logistic_regression,linear,53015.0,0.1331887201735357,0.9004547317463335,0.6132602095779062,0.8868432233394703,0.7251042149143122,0.9616528654662186,0.8313587565215789,0.0859337598468033,0.1131567766605296
extreme_abs_151_h1,absolute,151,1,temporal_split,decision_tree,tree,53015.0,0.1331887201735357,0.905774773498892,0.5642138146476918,0.9208327432375016,0.6997040624159269,0.9583893774133488,0.8291388626719886,0.1092831962397179,0.0791672567624982
extreme_abs_151_h1,absolute,151,1,temporal_split,majority_class,baseline,53015.0,0.1331887201735357,0.5,0.0,0.0,0.0,0.5,0.1331887201735357,0.0,1.0
extreme_abs_151_h3,absolute,151,3,random_split,random_forest,ensemble,48751.0,0.1314229451703555,0.9064136807078952,0.6595446584938705,0.8816918994849383,0.7546086027250868,0.9734719799343312,0.8687633540042234,0.0688645380691479,0.1183081005150616
extreme_abs_151_h3,absolute,151,3,random_split,decision_tree,tree,48751.0,0.1314229451703555,0.8980840323752026,0.549330315034899,0.9090057749336664,0.6848139220412722,0.950760423570821,0.8317143626206883,0.1128377101832609,0.0909942250663337
extreme_abs_151_h3,absolute,151,3,random_split,logistic_regression,linear,48751.0,0.1314229451703555,0.8548640080689425,0.5186783017942935,0.8256594349929764,0.6371191135734072,0.9361838956075196,0.7456059896650364,0.1159314188550916,0.1743405650070235
extreme_abs_151_h3,absolute,151,3,random_split,majority_class,baseline,48751.0,0.1314229451703555,0.5,0.0,0.0,0.0,0.5,0.1314229451703555,0.0,1.0
extreme_abs_151_h3,absolute,151,3,temporal_split,random_forest,ensemble,48405.0,0.1304204111145542,0.9121298817,0.672779575692197,0.8891176936480278,0.7659661572052402,0.9753558463106596,0.8758893766753496,0.0648579302480281,0.1108823063519721
extreme_abs_151_h3,absolute,151,3,temporal_split,decision_tree,tree,48405.0,0.1304204111145542,0.90063683490919,0.5475580844001897,0.9146206241089816,0.6850160161347728,0.9525406575857708,0.8300461073472758,0.1133469542906015,0.0853793758910185
extreme_abs_151_h3,absolute,151,3,temporal_split,logistic_regression,linear,48405.0,0.1304204111145542,0.8655622333247868,0.5323452833967555,0.842071915095834,0.6523099576661144,0.9389255609735344,0.7549591927985202,0.1109474484462605,0.157928084904166
extreme_abs_151_h3,absolute,151,3,temporal_split,majority_class,baseline,48405.0,0.1304204111145542,0.5,0.0,0.0,0.0,0.5,0.1304204111145542,0.0,1.0
extreme_abs_201_h1,absolute,201,1,random_split,random_forest,ensemble,49443.0,0.0416843638128754,0.944668750998804,0.5348119034250421,0.9243085880640466,0.6775742486217322,0.9900924282885152,0.8282730364650195,0.0349710860664387,0.0756914119359534
extreme_abs_201_h1,absolute,201,1,random_split,decision_tree,tree,49443.0,0.0416843638128754,0.9457712830715844,0.4178594317453535,0.9490538573508006,0.5802432512607535,0.964138697135944,0.7679236209376159,0.0575112912076315,0.0509461426491994
extreme_abs_201_h1,absolute,201,1,random_split,logistic_regression,linear,49443.0,0.0416843638128754,0.9426166140637614,0.401440329218107,0.9466278505579816,0.5637913596301113,0.9831280653667464,0.7547755074754294,0.0613946224304588,0.0533721494420184
extreme_abs_201_h1,absolute,201,1,random_split,majority_class,baseline,49443.0,0.0416843638128754,0.5,0.0,0.0,0.0,0.5,0.0416843638128754,0.0,1.0
extreme_abs_201_h1,absolute,201,1,temporal_split,random_forest,ensemble,53015.0,0.0413845138168442,0.9480869698403624,0.531461258450338,0.9316317228805834,0.6768211920529801,0.989292889155688,0.82146446017947,0.0354577831998583,0.0683682771194165
extreme_abs_201_h1,absolute,201,1,temporal_split,logistic_regression,linear,53015.0,0.0413845138168442,0.94389149311424,0.4079308990969768,0.9471285323609844,0.5702524698133918,0.983843386399334,0.7571198523753979,0.0593455461325042,0.0528714676390155
extreme_abs_201_h1,absolute,201,1,temporal_split,decision_tree,tree,53015.0,0.0413845138168442,0.9437127911202164,0.4082154088050314,0.9466727438468552,0.5704476792090085,0.9642689867382144,0.7558308947294651,0.0592471616064225,0.0533272561531449
extreme_abs_201_h1,absolute,201,1,temporal_split,majority_class,baseline,53015.0,0.0413845138168442,0.5,0.0,0.0,0.0,0.5,0.0413845138168442,0.0,1.0
extreme_abs_201_h3,absolute,201,3,random_split,random_forest,ensemble,48751.0,0.0414965846854423,0.9445145962249064,0.5448175182481751,0.9223924864063272,0.6850220264317181,0.9893188294381774,0.8071923442003702,0.0333632939565142,0.0776075135936727
extreme_abs_201_h3,absolute,201,3,random_split,decision_tree,tree,48751.0,0.0414965846854423,0.943885568064502,0.4030665826507036,0.9485912011863568,0.5657429245283019,0.9687558737504488,0.7050622308360044,0.0608200650573531,0.0514087988136431
extreme_abs_201_h3,absolute,201,3,random_split,logistic_regression,linear,48751.0,0.0414965846854423,0.9226764945381156,0.3400728597449909,0.9228868017795352,0.4970051910022627,0.9727074082903652,0.5786058196835512,0.0775338127033042,0.0771131982204646
extreme_abs_201_h3,absolute,201,3,random_split,majority_class,baseline,48751.0,0.0414965846854423,0.5,0.0,0.0,0.0,0.5,0.0414965846854423,0.0,1.0
extreme_abs_201_h3,absolute,201,3,temporal_split,random_forest,ensemble,48405.0,0.0396446648073546,0.9444880242875212,0.544362292051756,0.9207920792079208,0.6842207163601162,0.9890853465001268,0.8113183320731278,0.0318160306328787,0.0792079207920792
extreme_abs_201_h3,absolute,201,3,temporal_split,decision_tree,tree,48405.0,0.0396446648073546,0.9348342019047596,0.4021714544220764,0.9265242313705054,0.5608832807570978,0.9482267260526834,0.6914121905932755,0.0568558275609861,0.0734757686294945
extreme_abs_201_h3,absolute,201,3,temporal_split,logistic_regression,linear,48405.0,0.0396446648073546,0.927514415575864,0.3325897006878602,0.93225638353309,0.4902713072074541,0.973239254829411,0.6092093175014994,0.0772275523813621,0.0677436164669098
extreme_abs_201_h3,absolute,201,3,temporal_split,majority_class,baseline,48405.0,0.0396446648073546,0.5,0.0,0.0,0.0,0.5,0.0396446648073546,0.0,1.0
extreme_city_p90_h1,city_relative,p90,1,random_split,random_forest,ensemble,49443.0,0.1080840563881641,0.6584667372153807,0.3194794290512174,0.4272080838323353,0.3655724579663731,0.7982693963758462,0.2994173212565937,0.1102746094015737,0.5727919161676647
extreme_city_p90_h1,city_relative,p90,1,random_split,decision_tree,tree,49443.0,0.1080840563881641,0.6715457084990997,0.1963408710669761,0.6807634730538922,0.3047794579650651,0.7408969936552664,0.2476793217161394,0.3376720560556929,0.3192365269461077
extreme_city_p90_h1,city_relative,p90,1,random_split,logistic_regression,linear,49443.0,0.1080840563881641,0.6662306120598549,0.1921098679675486,0.6779565868263473,0.2993843738379539,0.7339717518408838,0.2419962177011171,0.3454953627066373,0.3220434131736527
extreme_city_p90_h1,city_relative,p90,1,random_split,majority_class,baseline,49443.0,0.1080840563881641,0.5,0.0,0.0,0.0,0.5,0.1080840563881641,0.0,1.0
extreme_city_p90_h1,city_relative,p90,1,temporal_split,random_forest,ensemble,53015.0,0.0987079128548524,0.6456237947133024,0.2968411942881869,0.3932734569080833,0.3383199079401611,0.7921619074105137,0.2688341731225213,0.1020258674814783,0.6067265430919166
extreme_city_p90_h1,city_relative,p90,1,temporal_split,logistic_regression,linear,53015.0,0.0987079128548524,0.6528825862199191,0.1926760930475011,0.5650678387158418,0.2873663751214771,0.7275226346281931,0.2300182715290539,0.2593026662760035,0.4349321612841582
extreme_city_p90_h1,city_relative,p90,1,temporal_split,decision_tree,tree,53015.0,0.0987079128548524,0.6611969632960153,0.1746864538050267,0.6680680298108159,0.2769547651113047,0.7323918711072677,0.2277298744960132,0.3456741032187853,0.331931970189184
extreme_city_p90_h1,city_relative,p90,1,temporal_split,majority_class,baseline,53015.0,0.0987079128548524,0.5,0.0,0.0,0.0,0.5,0.0987079128548524,0.0,1.0
