horizon,split_name,model,absolute_event_rate,absolute_pr_auc,absolute_recall,absolute_f1,absolute_precision,city_relative_event_rate,city_relative_pr_auc,city_relative_recall,city_relative_f1,city_relative_precision,delta_absolute_minus_city_relative_event_rate,delta_absolute_minus_city_relative_pr_auc,delta_absolute_minus_city_relative_recall,delta_absolute_minus_city_relative_f1,delta_absolute_minus_city_relative_precision
1,random_split,random_forest,0.1317881196529337,0.8722038880195871,0.896255371393493,0.7454208947603549,0.6380421719654757,0.1080840563881641,0.2994173212565937,0.4272080838323353,0.3655724579663731,0.3194794290512174,0.023704063264769593,0.5727865667629934,0.4690472875611577,0.3798484367939818,0.31856274291425835
1,random_split,decision_tree,0.1317881196529337,0.8325564835047272,0.9106813996316758,0.6918099679393763,0.557759187893599,0.1080840563881641,0.2476793217161394,0.6807634730538922,0.3047794579650651,0.1963408710669761,0.023704063264769593,0.5848771617885878,0.22991792657778365,0.3870305099743112,0.36141831682662295
1,random_split,logistic_regression,0.1317881196529337,0.8177099931378403,0.8844383057090239,0.7034912109375,0.5840089177138225,0.1080840563881641,0.2419962177011171,0.6779565868263473,0.2993843738379539,0.1921098679675486,0.023704063264769593,0.5757137754367232,0.20648171888267663,0.4041068370995461,0.3918990497462739
1,random_split,majority_class,0.1317881196529337,0.1317881196529337,0.0,0.0,0.0,0.1080840563881641,0.1080840563881641,0.0,0.0,0.0,0.023704063264769593,0.023704063264769593,0.0,0.0,0.0
1,temporal_split,random_forest,0.1331887201735357,0.879513667108691,0.9034131142897608,0.7580060602459747,0.6529170931422723,0.0987079128548524,0.2688341731225213,0.3932734569080833,0.3383199079401611,0.2968411942881869,0.03448080731868329,0.6106794939861697,0.5101396573816774,0.41968615230581363,0.3560758988540854
1,temporal_split,logistic_regression,0.1331887201735357,0.8313587565215789,0.8868432233394703,0.7251042149143122,0.6132602095779062,0.0987079128548524,0.2300182715290539,0.5650678387158418,0.2873663751214771,0.1926760930475011,0.03448080731868329,0.601340484992525,0.32177538462362854,0.4377378397928351,0.42058411653040506
1,temporal_split,decision_tree,0.1331887201735357,0.8291388626719886,0.9208327432375016,0.6997040624159269,0.5642138146476918,0.0987079128548524,0.2277298744960132,0.6680680298108159,0.2769547651113047,0.1746864538050267,0.03448080731868329,0.6014089881759753,0.2527647134266857,0.4227492973046222,0.38952736084266515
1,temporal_split,majority_class,0.1331887201735357,0.1331887201735357,0.0,0.0,0.0,0.0987079128548524,0.0987079128548524,0.0,0.0,0.0,0.03448080731868329,0.03448080731868329,0.0,0.0,0.0
3,random_split,random_forest,0.1314229451703555,0.8687633540042234,0.8816918994849383,0.7546086027250868,0.6595446584938705,0.1076490738651514,0.3023822510313381,0.4542682926829268,0.370358862824297,0.3126147390506163,0.023773871305204086,0.5663811029728854,0.4274236068020115,0.3842497399007898,0.34692991944325413
3,random_split,decision_tree,0.1314229451703555,0.8317143626206883,0.9090057749336664,0.6848139220412722,0.549330315034899,0.1076490738651514,0.2577849707490325,0.7267530487804879,0.3165933427409313,0.2023771622625491,0.023773871305204086,0.5739293918716558,0.18225272615317856,0.3682205793003409,0.34695315277234995
3,random_split,logistic_regression,0.1314229451703555,0.7456059896650364,0.8256594349929764,0.6371191135734072,0.5186783017942935,0.1076490738651514,0.1900015272129023,0.6362423780487805,0.274014197201592,0.1746064947968415,0.023773871305204086,0.5556044624521341,0.18941705694419597,0.36310491637181525,0.344071806997452
3,random_split,majority_class,0.1314229451703555,0.1314229451703555,0.0,0.0,0.0,0.1076490738651514,0.1076490738651514,0.0,0.0,0.0,0.023773871305204086,0.023773871305204086,0.0,0.0,0.0
3,temporal_split,random_forest,0.1304204111145542,0.8758893766753496,0.8891176936480278,0.7659661572052402,0.672779575692197,0.0953620493750645,0.272873809567452,0.4239601386481802,0.3527715187021181,0.3020527859237537,0.035058361739489716,0.6030155671078976,0.4651575549998476,0.4131946385031221,0.37072678976844337
3,temporal_split,decision_tree,0.1304204111145542,0.8300461073472758,0.9146206241089816,0.6850160161347728,0.5475580844001897,0.0953620493750645,0.2331139764822626,0.7302859618717504,0.2926215277777778,0.1829678679982631,0.035058361739489716,0.5969321308650132,0.18433466223723116,0.39239448835699503,0.3645902164019266
3,temporal_split,logistic_regression,0.1304204111145542,0.7549591927985202,0.842071915095834,0.6523099576661144,0.5323452833967555,0.0953620493750645,0.180111704588109,0.5543760831889082,0.258824719328411,0.1688217442934424,0.035058361739489716,0.5748474882104112,0.2876958319069258,0.39348523833770344,0.36352353910331303
3,temporal_split,majority_class,0.1304204111145542,0.1304204111145542,0.0,0.0,0.0,0.0953620493750645,0.0953620493750645,0.0,0.0,0.0,0.035058361739489716,0.035058361739489716,0.0,0.0,0.0
