group,permutation_importance_sum,n_features
local_normalization,0.7683519620063137,27
calendar,0.2654211597318379,8
rolling,0.13073857346781734,14
interaction,0.09705463845710913,5
lag,0.09580796582064331,18
current_socio_environmental,0.04344538280208748,4
current_aqi,0.023511098890900528,1
current_meteorology,-0.0006186913188973392,2
current_pollutant,-0.02515551624444844,12
