target,held_out_country,test_observations,train_observations,test_event_rate,train_event_rate,event_rate_gap_abs,AQI_smd,AQI_wasserstein_norm,AQI_ks,PM25_ug_m3_smd,PM25_ug_m3_wasserstein_norm,PM25_ug_m3_ks,PM10_ug_m3_smd,PM10_ug_m3_wasserstein_norm,PM10_ug_m3_ks,CO_mg_m3_smd,CO_mg_m3_wasserstein_norm,CO_mg_m3_ks,NO2_ug_m3_smd,NO2_ug_m3_wasserstein_norm,NO2_ug_m3_ks,O3_ug_m3_smd,O3_ug_m3_wasserstein_norm,O3_ug_m3_ks,Wind_Speed_km_h_smd,Wind_Speed_km_h_wasserstein_norm,Wind_Speed_km_h_ks,Humidity_pct_smd,Humidity_pct_wasserstein_norm,Humidity_pct_ks,Deforestation_Rate_pct_smd,Deforestation_Rate_pct_wasserstein_norm,Deforestation_Rate_pct_ks,smd_mean_abs,smd_max_abs,wasserstein_mean_norm,wasserstein_max_norm,ks_mean,ks_max,aqi_smd_abs,aqi_wasserstein_norm,aqi_ks
extreme_abs_151_h3,South Africa,10575,314430,0.005768321513002364,0.1356549947524091,0.12988667323940675,-0.30543245689635357,0.3167414788808604,0.2025328371974684,-0.4027373045618769,0.40733995839471465,0.26317187715336743,-0.4779067439858835,0.47928805205856967,0.334538052984766,-0.4865896430864846,0.5004322645213501,0.4108666475845181,-0.6258131211112569,0.6258131229908913,0.43040295137232454,-0.6130717118305126,0.6178360002095433,0.3609447783820458,0.4542843551681043,0.45430801746704835,0.1850489245088997,-0.4430763073696768,0.4532389465499724,0.20750903751762445,-0.7260714732230363,0.7263944356594287,0.8274445822599624,0.5038870130259094,0.7260714732230363,0.5090435863035977,0.7263944356594287,0.35805107655121965,0.8274445822599624,0.30543245689635357,0.3167414788808604,0.2025328371974684
extreme_abs_151_h3,South Korea,12408,312597,0.010235332043842683,0.13623931131776695,0.12600397927392426,-0.11783457571171223,0.31800675792888056,0.14782549678398005,-0.2637389517924721,0.33927422091878157,0.1750238180614192,-0.2912633144497089,0.3418698027377286,0.17485118073895312,-0.4005605351240504,0.44782451623351893,0.3098140155477558,0.03949038026454192,0.2952909328482086,0.21657353920979294,-0.7234099252162663,0.7256250295323418,0.4536600566456899,-0.1956316034527731,0.26105105414786994,0.13540818748042427,-0.37872311265279307,0.4365074669285999,0.28141795695706956,-0.7361345377747377,0.7361446352786969,0.9282324584630749,0.34964299293767287,0.7361345377747377,0.43351049072829184,0.7361446352786969,0.3136451899875733,0.9282324584630749,0.11783457571171223,0.31800675792888056,0.14782549678398005
extreme_abs_151_h3,Thailand,9729,315276,0.005242059821153253,0.1353227013791091,0.13008064155795585,-0.05163578533508741,0.4803204494668824,0.35874842397119355,-0.21031145716550917,0.40719765715084366,0.3368669292017613,-0.31836503599772664,0.43762019675603075,0.2677426780970012,-0.29873230023318165,0.33792056459777253,0.18755119737737036,0.1820600167581456,0.4417808973201342,0.3704538797476,0.0060978635336569826,0.24840900302799032,0.11642341074606632,0.5511431390316608,0.5568473731358426,0.26702901768517157,0.053281046379156614,0.14240902963884872,0.06082138107287087,0.06879831105075766,0.5131103819930677,0.4240157829964856,0.1933805506094314,0.5511431390316608,0.3961795058986014,0.5568473731358426,0.265516966766169,0.4240157829964856,0.05163578533508741,0.4803204494668824,0.35874842397119355
extreme_abs_151_h3,Turkey,10434,314571,0.05750431282346176,0.1338807455232682,0.07637643269980644,0.012063495563333809,0.3234021267545555,0.2043432037471539,-0.16201735850351043,0.300104994645529,0.18065422776124015,-0.21360211808903945,0.3321490263571031,0.1808923040362048,-0.2550137448894114,0.2858723198874069,0.13481981939023435,0.34983211015248417,0.38298291158648723,0.260593900212619,0.40095494811721166,0.4700280277343633,0.2764684155435369,0.5738205251171843,0.5886850961982588,0.2559397281256576,-0.05596985685812447,0.14170971775498345,0.0767395613090226,0.421369295938972,0.6559874829773455,0.43544090549059217,0.27162705035880796,0.5738205251171843,0.3867690782106703,0.6559874829773455,0.22287689617958462,0.43544090549059217,0.012063495563333809,0.3234021267545555,0.2043432037471539
extreme_abs_151_h3,United Kingdom,10293,314712,9.71534052268532e-05,0.13572409059711738,0.13562693719189053,-0.48045736542864925,0.5078252851182229,0.3525353208343214,-0.4539403347197363,0.45697984190070434,0.3741513876396494,-0.518264310448323,0.5182665180708301,0.41509349535317697,-0.5345478105167139,0.5345485734122621,0.38861984534152905,-0.39118899525797024,0.4048823800533894,0.2281170660228774,-0.006291080826908211,0.24451296127993938,0.11240283353651975,0.5660322282495021,0.5721244408272688,0.27391980386851633,0.05026780362202178,0.14423345300969195,0.06142062653847989,0.05972685812621504,0.5068522633544825,0.42476931289559977,0.3400796430217822,0.5660322282495021,0.4322473018918658,0.5721244408272688,0.29233663244785224,0.42476931289559977,0.48045736542864925,0.5078252851182229,0.3525353208343214
extreme_abs_151_h3,United States,27495,297510,0.0012729587197672304,0.14345736277772175,0.14218440405795452,-0.620706152050588,0.620706152050588,0.37349013909465656,-0.5252499184709338,0.5252566611710598,0.39481275785601694,-0.5645770921542357,0.5647483485742169,0.4285740018219599,-0.5436435789637653,0.5436965727352419,0.3725454606567846,-0.5231400797070184,0.5241679469169231,0.29101439382774463,-0.10519569893797522,0.2487222248176218,0.0853612332789504,0.21218614984953557,0.3713339475973767,0.21105819326047218,0.17583189585139125,0.4163035435606423,0.2042937578482602,-0.738918825812555,0.738918825812555,0.6532383742326265,0.4454943768664443,0.738918825812555,0.5059838025818029,0.738918825812555,0.33493203465305244,0.6532383742326265,0.620706152050588,0.620706152050588,0.37349013909465656
extreme_abs_151_h3,Vietnam,10716,314289,0.07661440836132885,0.13329769734225505,0.0566832889809262,-0.06556130746043046,0.22102521863327715,0.09682753436285846,-0.19677720062767493,0.23898894231294834,0.09620574660499359,-0.2758384617538161,0.29433693481990947,0.1330296319629386,-0.19942717923279257,0.20142114891877066,0.07882570701354152,0.4445449216474285,0.4446069967946876,0.21335081975339154,0.1212377785680843,0.2661151973286566,0.1515701857375319,0.1675270147480266,0.21265192068719632,0.12064223156327292,0.7949163352260777,0.798480301358524,0.45466814736888994,2.2937987285004233,2.2973070236377096,0.7218870044349058,0.506625436418306,2.2937987285004233,0.5527704093879644,2.2973070236377096,0.2296674454224805,0.7218870044349058,0.06556130746043046,0.22102521863327715,0.09682753436285846
