month,rows,mean_aqi,extreme_abs_151_rate,extreme_abs_201_rate
1,27660,101.67494577006508,0.17227042660882141,0.08756326825741143
2,27660,95.86258134490238,0.1601229211858279,0.07006507592190889
3,27660,88.89027476500361,0.15289226319595084,0.043203181489515546
4,27660,83.01247288503254,0.1299710773680405,0.029464931308749095
5,27660,81.20267534345625,0.12006507592190889,0.024584237165582067
6,27660,71.56572668112798,0.07299349240780911,0.0079175704989154
7,27660,72.06001446131597,0.07906724511930585,0.009363702096890816
8,27660,74.20560375994215,0.0910701373825018,0.012364425162689804
9,27660,75.82458423716558,0.09895155459146783,0.015292841648590022
10,27660,85.84757772957339,0.15835140997830802,0.037020968908170644
11,27660,96.63347794649313,0.1740057845263919,0.07472885032537961
12,27660,103.22133044107014,0.17530730296456978,0.09255242227042661
