horizon,split_name,model,abs151_event_rate,abs151_pr_auc,abs151_recall,abs151_f1,abs151_precision,abs201_event_rate,abs201_pr_auc,abs201_recall,abs201_f1,abs201_precision,delta_abs151_minus_abs201_event_rate,delta_abs151_minus_abs201_pr_auc,delta_abs151_minus_abs201_recall,delta_abs151_minus_abs201_f1,delta_abs151_minus_abs201_precision
1,random_split,random_forest,0.1317881196529337,0.8722038880195871,0.896255371393493,0.7454208947603549,0.6380421719654757,0.0416843638128754,0.8282730364650195,0.9243085880640466,0.6775742486217322,0.5348119034250421,0.09010375584005828,0.04393085155456766,-0.028053216670553605,0.06784664613862268,0.1032302685404336
1,random_split,decision_tree,0.1317881196529337,0.8325564835047272,0.9106813996316758,0.6918099679393763,0.557759187893599,0.0416843638128754,0.7679236209376159,0.9490538573508006,0.5802432512607535,0.4178594317453535,0.09010375584005828,0.06463286256711132,-0.038372457719124786,0.11156671667862283,0.1398997561482455
1,random_split,logistic_regression,0.1317881196529337,0.8177099931378403,0.8844383057090239,0.7034912109375,0.5840089177138225,0.0416843638128754,0.7547755074754294,0.9466278505579816,0.5637913596301113,0.401440329218107,0.09010375584005828,0.06293448566241089,-0.06218954484895767,0.1396998513073887,0.18256858849571544
1,random_split,majority_class,0.1317881196529337,0.1317881196529337,0.0,0.0,0.0,0.0416843638128754,0.0416843638128754,0.0,0.0,0.0,0.09010375584005828,0.09010375584005828,0.0,0.0,0.0
1,temporal_split,random_forest,0.1331887201735357,0.879513667108691,0.9034131142897608,0.7580060602459747,0.6529170931422723,0.0413845138168442,0.82146446017947,0.9316317228805834,0.6768211920529801,0.531461258450338,0.0918042063566915,0.05804920692922111,-0.02821860859082259,0.08118486819299464,0.12145583469193433
1,temporal_split,logistic_regression,0.1331887201735357,0.8313587565215789,0.8868432233394703,0.7251042149143122,0.6132602095779062,0.0413845138168442,0.7571198523753979,0.9471285323609844,0.5702524698133918,0.4079308990969768,0.0918042063566915,0.07423890414618095,-0.06028530902151408,0.15485174510092037,0.2053293104809294
1,temporal_split,decision_tree,0.1331887201735357,0.8291388626719886,0.9208327432375016,0.6997040624159269,0.5642138146476918,0.0413845138168442,0.7558308947294651,0.9466727438468552,0.5704476792090085,0.4082154088050314,0.0918042063566915,0.07330796794252348,-0.02584000060935354,0.12925638320691835,0.15599840584266045
1,temporal_split,majority_class,0.1331887201735357,0.1331887201735357,0.0,0.0,0.0,0.0413845138168442,0.0413845138168442,0.0,0.0,0.0,0.0918042063566915,0.0918042063566915,0.0,0.0,0.0
3,random_split,random_forest,0.1314229451703555,0.8687633540042234,0.8816918994849383,0.7546086027250868,0.6595446584938705,0.0414965846854423,0.8071923442003702,0.9223924864063272,0.6850220264317181,0.5448175182481751,0.08992636048491319,0.061571009803853216,-0.04070058692138889,0.06958657629336873,0.1147271402456953
3,random_split,decision_tree,0.1314229451703555,0.8317143626206883,0.9090057749336664,0.6848139220412722,0.549330315034899,0.0414965846854423,0.7050622308360044,0.9485912011863568,0.5657429245283019,0.4030665826507036,0.08992636048491319,0.12665213178468393,-0.03958542625269035,0.11907099751297034,0.14626373238419543
3,random_split,logistic_regression,0.1314229451703555,0.7456059896650364,0.8256594349929764,0.6371191135734072,0.5186783017942935,0.0414965846854423,0.5786058196835512,0.9228868017795352,0.4970051910022627,0.3400728597449909,0.08992636048491319,0.16700016998148526,-0.09722736678655874,0.14011392257114452,0.17860544204930262
3,random_split,majority_class,0.1314229451703555,0.1314229451703555,0.0,0.0,0.0,0.0414965846854423,0.0414965846854423,0.0,0.0,0.0,0.08992636048491319,0.08992636048491319,0.0,0.0,0.0
3,temporal_split,random_forest,0.1304204111145542,0.8758893766753496,0.8891176936480278,0.7659661572052402,0.672779575692197,0.0396446648073546,0.8113183320731278,0.9207920792079208,0.6842207163601162,0.544362292051756,0.09077574630719962,0.06457104460222185,-0.03167438555989299,0.08174544084512403,0.12841728364044103
3,temporal_split,decision_tree,0.1304204111145542,0.8300461073472758,0.9146206241089816,0.6850160161347728,0.5475580844001897,0.0396446648073546,0.6914121905932755,0.9265242313705054,0.5608832807570978,0.4021714544220764,0.09077574630719962,0.13863391675400027,-0.01190360726152384,0.124132735377675,0.1453866299781133
3,temporal_split,logistic_regression,0.1304204111145542,0.7549591927985202,0.842071915095834,0.6523099576661144,0.5323452833967555,0.0396446648073546,0.6092093175014994,0.93225638353309,0.4902713072074541,0.3325897006878602,0.09077574630719962,0.14574987529702077,-0.09018446843725603,0.16203865045866034,0.19975558270889526
3,temporal_split,majority_class,0.1304204111145542,0.1304204111145542,0.0,0.0,0.0,0.0396446648073546,0.0396446648073546,0.0,0.0,0.0,0.09077574630719962,0.09077574630719962,0.0,0.0,0.0
