target,model,model_family,criterion,part,countries,mean_threshold,mean_event_rate,mean_precision,mean_recall,mean_f1,mean_balanced_accuracy,mean_pr_auc,mean_false_alarm_rate,mean_missed_event_rate
extreme_abs_151_h1,random_forest,ensemble,f1,test_calibrated,24,0.6879166666666666,0.14003470164693402,0.33299839796638,0.30357629228101807,0.30149673553498496,0.680409435079356,0.39531251363900355,0.06775742212230605,0.5714237077189819
extreme_abs_151_h1,random_forest,ensemble,f1,test_default_threshold,24,0.6879166666666666,0.14003470164693402,0.3141482958478178,0.4128430119360547,0.34056870816754586,0.708602298902442,0.39531251363900355,0.12063841413117064,0.4621569880639453
extreme_abs_151_h1,xgboost,boosting,f1,test_calibrated,24,0.3695833333333333,0.14003470164693402,0.3189538121040524,0.31368006449083646,0.299772564388103,0.6842855137224543,0.3860002061230918,0.07010903704592802,0.5613199355091635
extreme_abs_151_h1,xgboost,boosting,f1,test_default_threshold,24,0.3695833333333333,0.14003470164693402,0.3265809667926024,0.264310142616779,0.2728317765069452,0.6710957034623947,0.3860002061230918,0.04711873569198984,0.610689857383221
extreme_abs_151_h3,random_forest,ensemble,f1,test_calibrated,24,0.6391666666666667,0.1396483510147712,0.2835139616342412,0.2644247356309192,0.25759052656840675,0.6602671144299163,0.3290929312312222,0.06889050677108675,0.6105752643690807
extreme_abs_151_h3,random_forest,ensemble,f1,test_default_threshold,24,0.6391666666666667,0.1396483510147712,0.2609439165185024,0.3276490462895178,0.27574580947128985,0.6721770685190324,0.3290929312312222,0.1082949092514528,0.5473509537104823
extreme_abs_151_h3,xgboost,boosting,f1,test_calibrated,24,0.34625,0.1396483510147712,0.27697195094229066,0.25727679949132637,0.25195623391325045,0.6541757062539666,0.33042792598652926,0.07392538698339311,0.6177232005086736
extreme_abs_151_h3,xgboost,boosting,f1,test_default_threshold,24,0.34625,0.1396483510147712,0.2979192157378774,0.21491478195048155,0.22996447248751747,0.6456020315379111,0.33042792598652926,0.04871071887465949,0.6600852180495185
