target,model,experiment,shift_metric,outcome,n_countries,spearman_r,spearman_p
extreme_abs_151_h1,xgboost,XGBoost h=1,wasserstein_max_norm,pr_auc_delta,21,-0.16753246753246753,0.4679157387083451
extreme_abs_151_h1,xgboost,XGBoost h=1,wasserstein_max_norm,f1_delta,24,0.2527115952860436,0.23349773733852386
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_mean,pr_auc_base,21,-0.13116883116883118,0.5708891960684089
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_mean,f1_base,24,-0.20623071258164632,0.3336277985478055
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_mean,pr_auc_delta,21,-0.6922077922077923,0.0005070683142805509
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_mean,f1_delta,24,-0.4399889382212367,0.031432474792357584
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_max,pr_auc_base,21,-0.2831168831168831,0.21364780365132657
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_max,f1_base,24,-0.3420631950478948,0.10182080880949984
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_max,pr_auc_delta,21,-0.31428571428571433,0.16528805484305464
extreme_abs_151_h1,xgboost,XGBoost h=1,ks_max,f1_delta,24,-0.33033015669532845,0.11490657563512464
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_smd_abs,pr_auc_base,21,0.17922077922077922,0.4369652748985062
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_smd_abs,f1_base,24,0.12680706834888975,0.5548865387441795
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_smd_abs,pr_auc_delta,21,-0.6064935064935064,0.0035593019892842196
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_smd_abs,f1_delta,24,-0.09792574317334192,0.6489488558726068
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_wasserstein_norm,pr_auc_base,21,0.05324675324675325,0.8186916800528405
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_wasserstein_norm,f1_base,24,0.06408044023324677,0.7661032564566955
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_wasserstein_norm,pr_auc_delta,21,-0.7818181818181819,2.8403268605185392e-05
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_wasserstein_norm,f1_delta,24,-0.2355633084630621,0.26781925658387495
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_ks,pr_auc_base,21,-0.059740259740259746,0.7970010758753313
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_ks,f1_base,24,-0.06543425235085058,0.7613001167285718
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_ks,pr_auc_delta,21,-0.7194805194805195,0.00023665715585405195
extreme_abs_151_h1,xgboost,XGBoost h=1,aqi_ks,f1_delta,24,-0.263993362932742,0.21257551338415787
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_mean_abs,pr_auc_base,21,0.16233766233766234,0.4820201872355597
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_mean_abs,f1_base,24,0.21187084152016838,0.3202791815786086
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_mean_abs,pr_auc_delta,21,-0.4831168831168831,0.026518455375827792
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_mean_abs,f1_delta,24,-0.11281767646698378,0.5996752907390049
