target,held_out_country,feature,permutation_importance_mean,permutation_importance_std,sample_rows,repeats,group
extreme_abs_151_h3,Brazil,month,-0.002666831018736234,0.00207763302869457,8000,3,calendar
extreme_abs_151_h3,Brazil,Humidity (%),-0.002692326015571178,0.0009124114196662376,8000,3,current_meteorology
extreme_abs_151_h3,Brazil,SO2_lag_1,-0.0034400020602101864,0.0015378655800954363,8000,3,lag
extreme_abs_151_h3,Brazil,PM10_roll_std_3,-0.0035153717273710785,0.0013988631205023474,8000,3,rolling
extreme_abs_151_h3,Brazil,AQI_roll_std_3,-0.003911956489662767,0.00024134984805335486,8000,3,rolling
extreme_abs_151_h3,Brazil,Wind_Speed_city_past_anomaly,-0.004859431977803567,0.00012203789670881012,8000,3,local_normalization
extreme_abs_151_h3,Brazil,AQI_lag_2,-0.004959431705203447,0.00039679453610896984,8000,3,lag
extreme_abs_151_h3,Brazil,Wind_Speed_city_past_zscore,-0.005578580541299265,0.0007514652053559413,8000,3,local_normalization
extreme_abs_151_h3,Brazil,industry_NO2,-0.007424189973802157,0.0008704237042416888,8000,3,interaction
extreme_abs_151_h3,Brazil,Benzene (ug/m3),-0.007955225777571498,0.0005583706971560786,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,AQI_roll_mean_3,-0.009093500763055465,0.0008007664699964789,8000,3,rolling
extreme_abs_151_h3,Brazil,NO2_lag_1,-0.009351980456014005,0.00021855798044601135,8000,3,lag
extreme_abs_151_h3,Brazil,low_wind_PM25,-0.009385447956581713,0.0002844555585582268,8000,3,interaction
extreme_abs_151_h3,Brazil,NH3 (ug/m3),-0.011390334308400621,0.0015394318411321914,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,month_sin,-0.013375441732818275,0.0019973091927515544,8000,3,calendar
extreme_abs_151_h3,Brazil,AQI_lag_6,-0.01429704987942996,0.001837593932971566,8000,3,lag
extreme_abs_151_h3,Brazil,NO (ug/m3),-0.017141979017026132,0.0006518109092379725,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,AQI_lag_1,-0.01796657663391284,0.0007045500548378891,8000,3,lag
extreme_abs_151_h3,Brazil,CO_lag_1,-0.01953491271146242,0.0009499729768774818,8000,3,lag
extreme_abs_151_h3,Brazil,humidity_PM25,-0.02069867782439196,0.0007762302084919864,8000,3,interaction
extreme_abs_151_h3,Brazil,Xylene (ug/m3),-0.021127148211023867,0.002457021960559865,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,Toluene (ug/m3),-0.022014368584653794,0.0013110976473007323,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,SO2 (ug/m3),-0.0223408134428519,0.0009065293952630191,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,AQI_lag_12,-0.023415070086008738,0.0019944325135779124,8000,3,lag
extreme_abs_151_h3,Brazil,O3 (ug/m3),-0.02350880488898373,0.00028930273522234835,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,NOx (ppb),-0.02608123437953358,0.003514538768932343,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,AQI_roll_max_3,-0.036719520683685,0.0001381045064272679,8000,3,rolling
extreme_abs_151_h3,Brazil,CO2_Emission_MT,-0.038964948464289106,0.0034456994203430047,8000,3,current_socio_environmental
extreme_abs_151_h3,Brazil,AQI_lag_3,-0.039060105018987636,0.000671212105990618,8000,3,lag
extreme_abs_151_h3,Brazil,NO2 (ug/m3),-0.04288006360335097,0.0014911316473967993,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,PM10 (ug/m3),-0.049994013033727726,0.0014719450501869636,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,PM2.5 (ug/m3),-0.05277358866046289,0.00358438848458874,8000,3,current_pollutant
extreme_abs_151_h3,Brazil,CO (mg/m3),-0.055717143015932315,0.004946325636146252,8000,3,current_pollutant
