target,target_type,severity,horizon,split_name,model,model_family,rows,event_rate,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,false_alarm_rate,missed_event_rate
extreme_abs_151_h1,absolute,151,1,random_split,random_forest,ensemble,49443.0,0.1317881196529337,0.9095389187202516,0.6380421719654757,0.896255371393493,0.7454208947603549,0.974000710129577,0.8722038880195871,0.0771775339529899,0.103744628606507
extreme_abs_151_h1,absolute,151,1,temporal_split,random_forest,ensemble,53015.0,0.1331887201735357,0.9148109659014628,0.6529170931422723,0.9034131142897608,0.7580060602459747,0.9760463914589762,0.879513667108691,0.0737911824868346,0.0965868857102393
extreme_abs_151_h3,absolute,151,3,random_split,random_forest,ensemble,48751.0,0.1314229451703555,0.9064136807078952,0.6595446584938705,0.8816918994849383,0.7546086027250868,0.9734719799343312,0.8687633540042234,0.0688645380691479,0.1183081005150616
extreme_abs_151_h3,absolute,151,3,temporal_split,random_forest,ensemble,48405.0,0.1304204111145542,0.9121298817,0.672779575692197,0.8891176936480278,0.7659661572052402,0.9753558463106596,0.8758893766753496,0.0648579302480281,0.1108823063519721
extreme_abs_201_h1,absolute,201,1,random_split,random_forest,ensemble,49443.0,0.0416843638128754,0.944668750998804,0.5348119034250421,0.9243085880640466,0.6775742486217322,0.9900924282885152,0.8282730364650195,0.0349710860664387,0.0756914119359534
extreme_abs_201_h1,absolute,201,1,temporal_split,random_forest,ensemble,53015.0,0.0413845138168442,0.9480869698403624,0.531461258450338,0.9316317228805834,0.6768211920529801,0.989292889155688,0.82146446017947,0.0354577831998583,0.0683682771194165
extreme_abs_201_h3,absolute,201,3,random_split,random_forest,ensemble,48751.0,0.0414965846854423,0.9445145962249064,0.5448175182481751,0.9223924864063272,0.6850220264317181,0.9893188294381774,0.8071923442003702,0.0333632939565142,0.0776075135936727
extreme_abs_201_h3,absolute,201,3,temporal_split,random_forest,ensemble,48405.0,0.0396446648073546,0.9444880242875212,0.544362292051756,0.9207920792079208,0.6842207163601162,0.9890853465001268,0.8113183320731278,0.0318160306328787,0.0792079207920792
extreme_city_p90_h1,city_relative,p90,1,random_split,random_forest,ensemble,49443.0,0.1080840563881641,0.6584667372153807,0.3194794290512174,0.4272080838323353,0.3655724579663731,0.7982693963758462,0.2994173212565937,0.1102746094015737,0.5727919161676647
extreme_city_p90_h1,city_relative,p90,1,temporal_split,random_forest,ensemble,53015.0,0.0987079128548524,0.6456237947133024,0.2968411942881869,0.3932734569080833,0.3383199079401611,0.7921619074105137,0.2688341731225213,0.1020258674814783,0.6067265430919166
extreme_city_p90_h3,city_relative,p90,3,random_split,random_forest,ensemble,48751.0,0.1076490738651514,0.6668854278622781,0.3126147390506163,0.4542682926829268,0.370358862824297,0.8025333785152469,0.3023822510313381,0.1204974369583706,0.5457317073170732
extreme_city_p90_h3,city_relative,p90,3,temporal_split,random_forest,ensemble,48405.0,0.0953620493750645,0.6603460973219891,0.3020527859237537,0.4239601386481802,0.3527715187021181,0.8064995975066029,0.272873809567452,0.1032679440042019,0.5760398613518197
extreme_city_p95_h1,city_relative,p95,1,random_split,random_forest,ensemble,49443.0,0.0586938494832433,0.6229523864087823,0.2344935880659513,0.3087525844245348,0.2665476721701621,0.8059549281603169,0.1997045104474414,0.0628478116069702,0.6912474155754652
extreme_city_p95_h1,city_relative,p95,1,temporal_split,random_forest,ensemble,53015.0,0.0520796001131755,0.609846398982052,0.2165951359084406,0.2741760231800072,0.2420076726342711,0.8017029808745423,0.1619260840419613,0.0544832252159032,0.7258239768199928
extreme_city_p95_h3,city_relative,p95,3,random_split,random_forest,ensemble,48751.0,0.058501364074583,0.6228455500822634,0.2211538461538461,0.314516129032258,0.2596988998262883,0.8082785631492183,0.1910424338699951,0.0688250288677313,0.6854838709677419
extreme_city_p95_h3,city_relative,p95,3,temporal_split,random_forest,ensemble,48405.0,0.0512550356368143,0.6178305790324733,0.2134502923976608,0.294236195082628,0.2474156922555499,0.8129109601581023,0.1672980592309401,0.0585750370176813,0.705763804917372
