target,model,held_out_country,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_weighted,roc_auc_weighted,f1_weighted,recall_weighted,precision_weighted,balanced_accuracy_weighted,false_alarm_rate_weighted,missed_event_rate_weighted,feature_regime,weighting_strategy,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h1,xgboost,Australia,0.0003096934035305,0.6907453535159992,0.0,0.0,0.0,0.5,0.0,1.0,0.0005173305742369,0.8149070703199847,0.0,0.0,0.0,0.5,0.0,1.0,local,country_class_balanced,0.00020763717070639996,0.12416171680398547,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,Bangladesh,0.9626909994191571,0.9220734230333302,0.8841207526736158,0.8747656040717922,0.8936781609195402,0.8231852711716985,0.228395061728395,0.1252343959282078,0.9645456861759656,0.9256034174442068,0.8946599362380446,0.9020894722743102,0.8873517786561265,0.8253833604757794,0.2513227513227513,0.0979105277256898,local,country_class_balanced,0.0018546867568084435,0.0035299944108766468,0.010539183564428845,0.027323868202518087,-0.0063263822634137545,0.0021980893040809413,0.022927689594356288,-0.02732386820251799
extreme_abs_151_h1,xgboost,Brazil,0.3706115152420787,0.8925172085150687,0.1359773371104816,0.0845814977973568,0.3465703971119133,0.5342861495708878,0.0160091986555811,0.9154185022026432,0.4496378884895902,0.8920665102386086,0.4596535699197296,0.479295154185022,0.4415584415584415,0.7092212547857712,0.0608526446134795,0.520704845814978,local,country_class_balanced,0.0790263732475115,-0.0004506982764600487,0.323676232809248,0.3947136563876652,0.0949880444465282,0.17493510521488342,0.0448434459578984,-0.3947136563876652
extreme_abs_151_h1,xgboost,China,0.6773791153435851,0.9494423445887504,0.53675,0.9445666520017598,0.3748908678191025,0.8809847439341656,0.1825971641334285,0.0554333479982402,0.6778050735698801,0.9499935015448866,0.5379310344827586,0.9436867575890892,0.3761837951595931,0.8811313518640131,0.1814240538610629,0.0563132424109106,local,country_class_balanced,0.0004259582262949868,0.0005511569561361673,0.001181034482758636,-0.0008798944126706676,0.0012929273404905794,0.0001466079298475531,-0.0011731102723656073,0.000879894412670397
extreme_abs_151_h1,xgboost,Egypt,0.4448778760417857,0.6647096347547138,0.4253383625471489,0.3809618441971383,0.481416373681567,0.5885156840973841,0.2039304760023701,0.6190381558028617,0.4611160995294379,0.6718644071189499,0.5500176740897844,0.7730524642289348,0.4268627235816964,0.6286257778383465,0.5158009085522417,0.2269475357710652,local,country_class_balanced,0.016238223487652192,0.007154772364236117,0.12467931154263551,0.3920906200317965,-0.054553650099870565,0.040110093740962416,0.31187043254987157,-0.3920906200317965
extreme_abs_151_h1,xgboost,Ethiopia,0.5250602574426408,0.9327474064576292,0.3838862559241706,0.2934782608695652,0.5547945205479452,0.6362833663597156,0.020911528150134,0.7065217391304348,0.4905220150965876,0.883389089637487,0.5376470588235294,0.5519323671497585,0.5240825688073395,0.7537141728510186,0.0445040214477211,0.4480676328502415,local,country_class_balanced,-0.03453824234605324,-0.049358316820142245,0.15376080289935878,0.2584541062801933,-0.030711951740605703,0.117430806491303,0.0235924932975871,-0.25845410628019333
extreme_abs_151_h1,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,country_class_balanced,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,country_class_balanced,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,xgboost,India,0.9181979073372356,0.9520300423437884,0.822824064502791,0.8061031596003241,0.840253342716397,0.8595416511027765,0.0870198573947711,0.1938968403996759,0.9171699999050492,0.9521175144952,0.8314321926489227,0.8414798811774237,0.8216216216216217,0.8688730388023129,0.1037338035727976,0.1585201188225763,local,country_class_balanced,-0.0010279074321863924,8.747215141158282e-05,0.008608128146131655,0.03537672157709959,-0.01863172109477529,0.009331387699536453,0.016713946178026504,-0.03537672157709959
extreme_abs_151_h1,xgboost,Indonesia,0.3012676002605891,0.7469552215782725,0.175152749490835,0.1096938775510204,0.4343434343434343,0.5454145655230258,0.0188647465049688,0.8903061224489796,0.3255112754625945,0.7698959289375173,0.3406510219530658,0.2869897959183674,0.4189944134078212,0.6172190010415486,0.0525517938352703,0.7130102040816326,local,country_class_balanced,0.024243675202005432,0.022940707359244805,0.16549827246223078,0.17729591836734698,-0.015349020935613134,0.07180443551852278,0.03368704733030149,-0.17729591836734693
