split_name,target,held_out_country,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
leave_one_country_out,extreme_abs_151_h1,Australia,lightgbm,boosting,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.7289710672542633,0.0003533568904593
leave_one_country_out,extreme_abs_151_h1,Bangladesh,xgboost,boosting,test,10868,7466,0.686970923813029,0.8312476996687523,0.8303753027835535,0.9139958835636578,0.832708277524779,0.8714606111578357,0.8129397324669736,2817,585,1249,6217,0.1719576719576719,0.167291722475221,0.9175917106796352,0.9612604717100018
leave_one_country_out,extreme_abs_151_h1,Brazil,logistic_regression,linear,test,12441,1135,0.0912306084719877,0.8882726468933365,0.7316573555345842,0.4139095205941931,0.5400881057268723,0.4686544342507645,0.7031137077388737,10438,868,522,613,0.0767733946577038,0.4599118942731277,0.7736601593945283,0.4065716834137466
leave_one_country_out,extreme_abs_151_h1,China,xgboost,boosting,test,21879,2273,0.1038895744778097,0.848302024772613,0.8655729148878755,0.3970472440944882,0.8873735151781786,0.5486196110431116,0.7287254077739937,16543,3063,256,2017,0.1562276854024278,0.1126264848218213,0.9402884425469472,0.645131707714394
leave_one_country_out,extreme_abs_151_h1,Egypt,lightgbm,boosting,test,15158,5032,0.3319699168755772,0.5690064652328803,0.6140320357768743,0.4168789456196699,0.7480127186009539,0.5353815518099708,0.5667372231519863,4861,5265,1268,3764,0.5199486470472052,0.2519872813990461,0.6592402540391702,0.4396894823955146
leave_one_country_out,extreme_abs_151_h1,Ethiopia,random_forest,ensemble,test,10153,828,0.081552250566335,0.9137200827341672,0.7868553703487845,0.4781818181818182,0.6352657004830918,0.5456431535269709,0.7489887331461169,8751,574,302,526,0.0615549597855227,0.3647342995169082,0.9269343746357384,0.5332099839506457
leave_one_country_out,extreme_abs_151_h1,France,decision_tree,tree,test,11583,0,0.0,0.998963998963999,0.998963998963999,0.0,0.0,0.0,0.4997408655091993,11571,12,0,0,0.001036001036001,0.0,,
leave_one_country_out,extreme_abs_151_h1,Germany,decision_tree,tree,test,10439,0,0.0,0.9982756969058338,0.9982756969058338,0.0,0.0,0.0,0.499568552253116,10421,18,0,0,0.0017243030941661,0.0,,
leave_one_country_out,extreme_abs_151_h1,India,xgboost,boosting,test,20449,7406,0.3621692992322363,0.8699691916475133,0.854913536270657,0.8339665118896862,0.8002970564407237,0.8167849514228622,0.8580039974093656,11863,1180,1479,5927,0.0904699838994096,0.1997029435592762,0.9475241524901462,0.9098797592433672
leave_one_country_out,extreme_abs_151_h1,Indonesia,logistic_regression,linear,test,13442,1568,0.1166493081386698,0.832614194316322,0.6412177996514422,0.3214659685863874,0.3915816326530612,0.3530764807360552,0.6284736415472124,10578,1296,954,614,0.1091460333501768,0.6084183673469388,0.6909144658368652,0.2730103632461933
leave_one_country_out,extreme_abs_151_h1,Japan,decision_tree,tree,test,22594,0,0.0,0.9986722138620872,0.9986722138620872,0.0,0.0,0.0,0.4996678329421143,22564,30,0,0,0.0013277861379127,0.0,,
leave_one_country_out,extreme_abs_151_h1,Mexico,random_forest,ensemble,test,12584,1206,0.0958359821996185,0.905276541640178,0.8568091458101769,0.5036687631027253,0.796849087893864,0.6172125883108542,0.7815817181147996,10431,947,245,961,0.0832307962735102,0.2031509121061359,0.902472170698625,0.6067048220351441
leave_one_country_out,extreme_abs_151_h1,Nigeria,xgboost,boosting,test,10296,4021,0.3905400155400155,0.8471250971250971,0.8367943198605726,0.8134768127081732,0.7896045759761253,0.8013629480060576,0.8385564345334993,5547,728,846,3175,0.11601593625498,0.2103954240238746,0.9212135888180676,0.8860236767727272
leave_one_country_out,extreme_abs_151_h1,Pakistan,logistic_regression,linear,test,11297,9269,0.8204833141542003,0.881207400194742,0.6779919832029013,0.8767943720886016,0.9950372208436724,0.9321811198706288,0.7269601251527056,732,1296,46,9223,0.6390532544378699,0.0049627791563275,0.910178634088773,0.9777287589646898
leave_one_country_out,extreme_abs_151_h1,Philippines,lightgbm,boosting,test,20306,142,0.0069930069930069,0.954249975376736,0.6727831779408847,0.0613154960981047,0.3873239436619718,0.1058710298363811,0.5411977138922386,19322,842,87,55,0.0417575877802023,0.6126760563380281,0.9008266021441084,0.0558609582199524
leave_one_country_out,extreme_abs_151_h1,Russia,random_forest,ensemble,test,12012,1231,0.1024808524808524,0.9393106893106892,0.8963901050159625,0.6596692111959288,0.8424045491470349,0.7399215126650018,0.8527843744466331,10246,535,194,1037,0.0496243391151099,0.157595450852965,0.9621938466075686,0.8126971640008517
leave_one_country_out,extreme_abs_151_h1,Saudi Arabia,lightgbm,boosting,test,10725,135,0.0125874125874125,0.9585081585081584,0.5475238694785437,0.0494186046511627,0.1259259259259259,0.0709812108559499,0.5248807155800898,10263,327,118,17,0.0308781869688385,0.8740740740740741,0.6362879026335118,0.0249672372884303
leave_one_country_out,extreme_abs_151_h1,South Africa,random_forest,ensemble,test,10725,61,0.0056876456876456,0.993939393939394,0.5079622877030733,0.1666666666666666,0.0163934426229508,0.0298507462686567,0.5134054741491533,10659,5,60,1,0.0004688672168042,0.9836065573770492,0.9211303850552802,0.1094803634422665
leave_one_country_out,extreme_abs_151_h1,South Korea,random_forest,ensemble,test,12584,130,0.0103305785123966,0.9872059758423396,0.5444274931748836,0.2181818181818181,0.0923076923076923,0.1297297297297297,0.5616426737749237,12411,43,118,12,0.0034527059579251,0.9076923076923076,0.8883830959469309,0.1131013934459502
leave_one_country_out,extreme_abs_151_h1,Thailand,random_forest,ensemble,test,9867,51,0.005168744299179,0.9723320158102768,0.5959747590967928,0.0450819672131147,0.2156862745098039,0.0745762711864406,0.5302661694426982,9583,233,40,11,0.0237367563162184,0.7843137254901961,0.950490995094044,0.050709321420856
leave_one_country_out,extreme_abs_151_h1,Turkey,random_forest,ensemble,test,10582,611,0.0577395577395577,0.914949914949915,0.6283904173166012,0.2813918305597579,0.3044189852700491,0.2924528301886792,0.6236042554321639,9496,475,425,186,0.0476381506368468,0.6955810147299509,0.8231491620297883,0.2439130498355403
leave_one_country_out,extreme_abs_151_h1,United Kingdom,decision_tree,tree,test,10439,1,9.579461634256155e-05,0.9947312961011592,0.4974132975665836,0.0,0.0,0.0,0.4986793449550977,10384,54,1,0,0.0051734048668327,1.0,0.8819218241042346,0.0005763688760806
leave_one_country_out,extreme_abs_151_h1,United States,lightgbm,boosting,test,27885,35,0.0012551551013089,0.9986731217500447,0.4999640933572711,0.0,0.0,0.0,0.4996680602156712,27848,2,35,0,7.181328545780969e-05,1.0,0.9581154142087714,0.0483778993026164
leave_one_country_out,extreme_abs_151_h1,Vietnam,lightgbm,boosting,test,10868,838,0.0771071034228929,0.8923444976076556,0.7169367791613227,0.3600337268128162,0.5095465393794749,0.4219367588932806,0.6812910255505364,9271,759,411,427,0.0756729810568295,0.4904534606205251,0.8334246663351235,0.3899415026486187
leave_one_country_out,extreme_abs_151_h3,Australia,lightgbm,boosting,test,10293,1,9.71534052268532e-05,0.9999028465947732,0.5,0.0,0.0,0.0,0.4999757104687879,10292,0,1,0,0.0,1.0,0.8698989506412748,0.0007462686567164
leave_one_country_out,extreme_abs_151_h3,Bangladesh,xgboost,boosting,test,10716,7331,0.6841172079134005,0.812989921612542,0.782859095558873,0.862331655557067,0.8646842177056336,0.863506334286882,0.7833087226989965,2373,1012,992,6339,0.2989660265878877,0.1353157822943664,0.880075303938859,0.942985729183728
leave_one_country_out,extreme_abs_151_h3,Brazil,decision_tree,tree,test,12267,1135,0.0925246596559876,0.7860112496943018,0.4714502857975024,0.0576009501187648,0.0854625550660792,0.0688187300461156,0.4739672743023578,9545,1587,1038,97,0.1425619834710743,0.9145374449339208,0.5239792494075896,0.1073802489595687
leave_one_country_out,extreme_abs_151_h3,China,xgboost,boosting,test,21573,2215,0.102674639595791,0.8377601631669216,0.7754621662359482,0.3530756917447976,0.6970654627539503,0.4687310261080752,0.686496373604396,16529,2829,671,1544,0.1461411302820539,0.3029345372460497,0.8788848795780211,0.4937565605405867
leave_one_country_out,extreme_abs_151_h3,Egypt,random_forest,ensemble,test,14946,4966,0.3322628127927204,0.6072527766626522,0.549858779177364,0.4031290184312044,0.3787756745871929,0.3905730897009967,0.5504198123727095,7195,2785,3085,1881,0.2790581162324649,0.6212243254128071,0.5857609298338926,0.3736630069611836
leave_one_country_out,extreme_abs_151_h3,Ethiopia,random_forest,ensemble,test,10011,797,0.0796124263310358,0.8997103186494856,0.683616783580929,0.3833145434047351,0.4265997490589711,0.4038004750593824,0.6745253874915191,8667,547,457,340,0.059366181897113,0.5734002509410289,0.8488769340420542,0.3990595310441834
leave_one_country_out,extreme_abs_151_h3,France,decision_tree,tree,test,11421,0,0.0,0.9897557131599684,0.9897557131599684,0.0,0.0,0.0,0.4974257425742574,11304,117,0,0,0.0102442868400315,0.0,,
leave_one_country_out,extreme_abs_151_h3,Germany,decision_tree,tree,test,10293,0,0.0,0.9977654716797824,0.9977654716797824,0.0,0.0,0.0,0.4994407430822351,10270,23,0,0,0.0022345283202176,0.0,,
leave_one_country_out,extreme_abs_151_h3,India,xgboost,boosting,test,20163,7276,0.3608589991568715,0.8425829489659277,0.8225772416923132,0.8006449721489299,0.7506871907641561,0.7748616825081572,0.826922987052462,11527,1360,1814,5462,0.1055327073795297,0.2493128092358438,0.9281174464739876,0.8761384187579817
leave_one_country_out,extreme_abs_151_h3,Indonesia,majority_class,baseline,test,13254,1568,0.1183039082541119,0.881696091745888,0.5,0.0,0.0,0.0,0.4685645549318364,11686,0,1568,0,0.0,1.0,0.5,0.1183039082541119
leave_one_country_out,extreme_abs_151_h3,Japan,decision_tree,tree,test,22278,0,0.0,0.9772421222730944,0.9772421222730944,0.0,0.0,0.0,0.494245045290472,21771,507,0,0,0.0227578777269054,0.0,,
leave_one_country_out,extreme_abs_151_h3,Mexico,random_forest,ensemble,test,12408,1178,0.0949387491940683,0.8947453255963894,0.7849433136744138,0.4613992762364294,0.6494057724957555,0.5394922425952046,0.7400372950919608,10337,893,413,765,0.0795191451469278,0.3505942275042444,0.8099897648640026,0.4980401917062898
leave_one_country_out,extreme_abs_151_h3,Nigeria,xgboost,boosting,test,10152,3938,0.3879038613081166,0.8285066981875493,0.8092231568716457,0.8139468419548442,0.723209751142712,0.7659002285867957,0.8152964265651006,5563,651,1090,2848,0.1047634373994206,0.276790248857288,0.8858696584965255,0.8595231305146096
leave_one_country_out,extreme_abs_151_h3,Pakistan,xgboost,boosting,test,11139,9129,0.8195529221653649,0.724391776640632,0.7581399607287258,0.944273353864203,0.7053346478256107,0.8074993729621269,0.6612536359281409,1630,380,2690,6439,0.1890547263681592,0.2946653521743893,0.8672637197406547,0.965007152300184
