target,model,criterion,mean_balanced_accuracy_test_calibrated,mean_balanced_accuracy_test_default_threshold,mean_f1_test_calibrated,mean_f1_test_default_threshold,mean_false_alarm_rate_test_calibrated,mean_false_alarm_rate_test_default_threshold,mean_missed_event_rate_test_calibrated,mean_missed_event_rate_test_default_threshold,mean_precision_test_calibrated,mean_precision_test_default_threshold,mean_recall_test_calibrated,mean_recall_test_default_threshold,delta_calibrated_minus_default_mean_precision,delta_calibrated_minus_default_mean_recall,delta_calibrated_minus_default_mean_f1,delta_calibrated_minus_default_mean_balanced_accuracy,delta_calibrated_minus_default_mean_false_alarm_rate,delta_calibrated_minus_default_mean_missed_event_rate
extreme_abs_151_h1,random_forest,f1,0.680409435079356,0.708602298902442,0.30149673553498496,0.34056870816754586,0.06775742212230605,0.12063841413117064,0.5714237077189819,0.4621569880639453,0.33299839796638,0.3141482958478178,0.30357629228101807,0.4128430119360547,0.018850102118562195,-0.10926671965503665,-0.0390719726325609,-0.028192863823085945,-0.05288099200886459,0.10926671965503659
extreme_abs_151_h1,xgboost,f1,0.6842855137224543,0.6710957034623947,0.299772564388103,0.2728317765069452,0.07010903704592802,0.04711873569198984,0.5613199355091635,0.610689857383221,0.3189538121040524,0.3265809667926024,0.31368006449083646,0.264310142616779,-0.00762715468855002,0.049369921874057476,0.026940787881157835,0.013189810260059609,0.022990301353938182,-0.04936992187405753
extreme_abs_151_h3,random_forest,f1,0.6602671144299163,0.6721770685190324,0.25759052656840675,0.27574580947128985,0.06889050677108675,0.1082949092514528,0.6105752643690807,0.5473509537104823,0.2835139616342412,0.2609439165185024,0.2644247356309192,0.3276490462895178,0.02257004511573879,-0.06322431065859857,-0.018155282902883096,-0.011909954089116104,-0.039404402480366044,0.06322431065859846
extreme_abs_151_h3,xgboost,f1,0.6541757062539666,0.6456020315379111,0.25195623391325045,0.22996447248751747,0.07392538698339311,0.04871071887465949,0.6177232005086736,0.6600852180495185,0.27697195094229066,0.2979192157378774,0.25727679949132637,0.21491478195048155,-0.02094726479558673,0.042362017540844815,0.021991761425732975,0.008573674716055524,0.025214668108733622,-0.0423620175408449
