model,model_family,countries,h1_mean_balanced_accuracy,h1_mean_precision,h1_mean_recall,h1_mean_f1,h1_mean_roc_auc,h1_mean_pr_auc,h1_mean_false_alarm_rate,h1_mean_missed_event_rate,h3_mean_balanced_accuracy,h3_mean_precision,h3_mean_recall,h3_mean_f1,h3_mean_roc_auc,h3_mean_pr_auc,h3_mean_false_alarm_rate,h3_mean_missed_event_rate,delta_h1_minus_h3_mean_balanced_accuracy,delta_h1_minus_h3_mean_precision,delta_h1_minus_h3_mean_recall,delta_h1_minus_h3_mean_f1,delta_h1_minus_h3_mean_roc_auc,delta_h1_minus_h3_mean_pr_auc,delta_h1_minus_h3_mean_false_alarm_rate,delta_h1_minus_h3_mean_missed_event_rate
logistic_regression,linear,24,0.7239548019586876,0.2773555156199927,0.461538515942181,0.3292368142741262,0.8085856826027301,0.3860058057193232,0.1386289120248056,0.413461484057819,0.6883706068097637,0.2153040602373858,0.4118075567271095,0.2597446866832126,0.6866644818604004,0.3004651444686746,0.1600622950490308,0.4631924432728904,0.03558419514892386,0.062051455382606924,0.04973095921507148,0.06949212759091361,0.1219212007423297,0.08554066125064858,-0.021433383024225205,-0.04973095921507137
decision_tree,tree,24,0.7116309296920912,0.2429379656351288,0.4766978616110215,0.3052189778550872,0.7827088719507697,0.3513642657954894,0.1782656651323357,0.3983021383889784,0.6527867928811469,0.1912037439070711,0.3767493482695994,0.2314793820800722,0.6466673391559132,0.2763038910165375,0.1947075669703405,0.4982506517304006,0.05884413681094425,0.051734221728057694,0.09994851334142213,0.07373959577501502,0.13604153279485642,0.07506037477895189,-0.016441901838004813,-0.09994851334142224
random_forest,ensemble,24,0.708602298902442,0.3141482958478178,0.4128430119360547,0.3405687081675458,0.8492998525719957,0.3953125136390035,0.1206384141311706,0.4621569880639453,0.6721770685190324,0.2609439165185024,0.3276490462895178,0.2757458094712898,0.767460541819321,0.3290929312312222,0.1082949092514528,0.5473509537104823,0.03642523038340961,0.05320437932931538,0.08519396564653692,0.06482289869625601,0.0818393107526747,0.06621958240778131,0.012343504879717804,-0.08519396564653697
majority_class,baseline,24,0.5625,0.0,0.0,0.0,0.5,0.1600396590250674,0.0,0.875,0.5625,0.0,0.0,0.0,0.5,0.1595981154454528,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.000441543579614595,0.0,0.0
