target,split_name,model,feature_set,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,temporal_split,random_forest,all_features,validation,55320,7449,0.1346529284164859,0.9235538684020246,0.9157009239145885,0.6568894952251023,0.9049536850583971,0.7612218395347524,0.8578569893473782,44350,3521,708,6741,0.0735518372292202,0.0950463149416029,0.9767699516678038,0.8863026916363854
extreme_abs_151_h1,temporal_split,random_forest,all_features,test,53015,7061,0.13318872017353578,0.9231915495614449,0.9139228805352584,0.6534551802033063,0.9012887692961337,0.7576190476190476,0.8559920857281611,42579,3375,697,6364,0.07344300822561692,0.09871123070386631,0.9760889070199859,0.8796906940585698
extreme_abs_151_h3,temporal_split,random_forest,all_features,validation,55320,7465,0.13494215473608098,0.9273138105567607,0.9107277488937159,0.6754636233951498,0.8880107166778298,0.7672897737137566,0.8621101989250867,44670,3185,836,6629,0.06655521889039807,0.11198928332217013,0.9757292468464438,0.8805176584357697
extreme_abs_151_h3,temporal_split,random_forest,all_features,test,48405,6313,0.13042041111455427,0.9290775746307199,0.9134407035864008,0.6717147626997376,0.8922857595437985,0.7664466970542214,0.8623187194274773,39339,2753,680,5633,0.06540435237099686,0.10771424045620148,0.9754930624309337,0.8759381007511692
