target,model,model_family,feature_set,feature_regime,weighting_strategy,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Australia,0.2810760887425775,1.0,11.302035556651166,1.2128213974055002,validation,47877,6516,0.1360987530547026,0.919314075652192,0.8904013378053,0.6572987074587928,0.8506752608962553,0.7415880660913774,0.8468908092352809,38471,2890,973,5543,0.0698725852856555,0.1493247391037446,0.9693319640395754,0.8439568706226187
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Australia,0.2810760887425775,1.0,11.302035556651166,1.2128213974055002,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.8149070703199847,0.0005173305742369
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Bangladesh,0.2950678000373427,1.0,11.891144997585124,1.2663284625929978,validation,47813,5396,0.11285633614289,0.926003388199862,0.8971546542567159,0.6251684182161142,0.859896219421794,0.7239819004524887,0.8406282799528408,39635,2782,756,4640,0.0655869109083622,0.140103780578206,0.970644154520546,0.821287931681924
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Bangladesh,0.2950678000373427,1.0,11.891144997585124,1.2663284625929978,test,10868,7466,0.686970923813029,0.854066985645933,0.8253833604757794,0.8873517786561265,0.9020894722743102,0.8946599362380446,0.8286173932687229,2547,855,731,6735,0.2513227513227513,0.0979105277256898,0.9256034174442068,0.9645456861759656
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Brazil,0.294060981529977,1.0,11.881242964905892,1.2185903872111683,validation,47577,6346,0.1333837778758644,0.9240389263719864,0.8924439333192602,0.6697316103379721,0.8493539237314844,0.7489231624287898,0.8520866431262324,38573,2658,956,5390,0.064466057092964,0.1506460762685156,0.9704845704059524,0.8437928352891554
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Brazil,0.294060981529977,1.0,11.881242964905892,1.2185903872111683,test,12441,1135,0.0912306084719877,0.8971947592637248,0.7092212547857712,0.4415584415584415,0.479295154185022,0.4596535699197296,0.7014234982621077,10618,688,591,544,0.0608526446134795,0.520704845814978,0.8920665102386086,0.4496378884895902
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,China,0.2776124383710645,1.0,11.571877695828336,1.2055374523362137,validation,46161,6175,0.1337709321721799,0.927102965706982,0.8905509661174933,0.6855520338087692,0.8406477732793523,0.7552193205790354,0.8561969972287478,37605,2381,984,5191,0.0595458410443655,0.1593522267206477,0.972145663937844,0.8556324686132412
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,China,0.2776124383710645,1.0,11.571877695828336,1.2055374523362137,test,21879,2273,0.1038895744778097,0.8315736551030669,0.8811313518640131,0.3761837951595931,0.9436867575890892,0.5379310344827586,0.717474585793485,16049,3557,128,2145,0.1814240538610629,0.0563132424109106,0.9499935015448866,0.6778050735698801
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Egypt,0.2910926004469575,1.0,11.881445759660837,1.2662655237523928,validation,47169,5761,0.1221353007271725,0.9347664779834212,0.9012797501393076,0.6866481223922114,0.8569692761673321,0.762412168944483,0.8623025740836046,39155,2253,824,4937,0.0544097758887171,0.1430307238326679,0.9765717935911596,0.8661476510876772
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Egypt,0.2910926004469575,1.0,11.881445759660837,1.2662655237523928,test,15158,5032,0.3319699168755772,0.5800897215991556,0.6286257778383465,0.4268627235816964,0.7730524642289348,0.5500176740897844,0.5782059182396235,4903,5223,1142,3890,0.5158009085522417,0.2269475357710652,0.6718644071189499,0.4611160995294379
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Ethiopia,0.2959941478662516,1.0,11.903773605404004,1.1843775502664924,validation,47920,6392,0.1333889816360601,0.9254799666110184,0.8947269830642184,0.6745452295507982,0.852784730913642,0.753264699785808,0.8546885643287319,38898,2630,941,5451,0.0633307647852051,0.1472152690863579,0.9712928976821344,0.8515084055534228
