split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
random_split,extreme_abs_151_h1,majority_class,baseline,train,230729,30408,0.13179097556007263,0.8682090244399273,0.5,0.0,0.0,0.0,0.46472798979236746,200321,0,30408,0,0.0,1.0,0.5,0.13179097556007263
random_split,extreme_abs_151_h1,majority_class,baseline,validation,49443,6516,0.1317881196529337,0.8682118803470663,0.5,0.0,0.0,0.0,0.4647288080545632,42927,0,6516,0,0.0,1.0,0.5,0.1317881196529337
random_split,extreme_abs_151_h1,majority_class,baseline,test,49443,6516,0.1317881196529337,0.8682118803470663,0.5,0.0,0.0,0.0,0.4647288080545632,42927,0,6516,0,0.0,1.0,0.5,0.1317881196529337
random_split,extreme_abs_151_h1,logistic_regression,linear,train,230729,30408,0.13179097556007263,0.904298982789333,0.8957365630872263,0.5916243040426047,0.8841094448829255,0.7088821210563092,0.8258097267159251,181764,18557,3524,26884,0.0926363187084729,0.11589055511707445,0.9596567805961618,0.8216749031029
random_split,extreme_abs_151_h1,logistic_regression,linear,validation,49443,6516,0.1317881196529337,0.9060736605788484,0.8992411407159553,0.5962368908081431,0.889963167587477,0.7140746213520502,0.8289408971432823,39000,3927,717,5799,0.09148088615556643,0.11003683241252302,0.9614110363929181,0.8295841477353572
random_split,extreme_abs_151_h1,logistic_regression,linear,test,49443,6516,0.1317881196529337,0.9017454442489331,0.894405422568212,0.5840089177138225,0.8844383057090239,0.7034912109375,0.8223038949647622,38822,4105,753,5763,0.09562746057259999,0.11556169429097606,0.9578007057622329,0.8177099931378403
random_split,extreme_abs_151_h1,decision_tree,tree,train,230729,30408,0.13179097556007263,0.9055688708398164,0.9254080126121332,0.5874274818451053,0.9523480662983426,0.7266454219255765,0.8347858598133509,179982,20339,1449,28959,0.10153204107407611,0.04765193370165746,0.9770049168427479,0.8808997894424413
random_split,extreme_abs_151_h1,decision_tree,tree,validation,49443,6516,0.1317881196529337,0.8953744716137775,0.9025821482193356,0.5636673935716318,0.9123695518723143,0.696829396940749,0.8168037822243313,38325,4602,571,5945,0.10720525543364316,0.0876304481276857,0.9581905974027631,0.8348015605664832
random_split,extreme_abs_151_h1,decision_tree,tree,test,49443,6516,0.1317881196529337,0.8930687862791498,0.9005383609615039,0.557759187893599,0.9106813996316758,0.6918099679393763,0.8135610752936656,38222,4705,582,5934,0.1096046777086682,0.08931860036832412,0.9564999801295854,0.8325564835047272
random_split,extreme_abs_151_h1,random_forest,ensemble,train,230729,30408,0.13179097556007263,0.938321580728907,0.9480638356252473,0.691285325765638,0.9612930807682188,0.8042314940915907,0.8838129162868535,187267,13054,1177,29231,0.06516540951772405,0.03870691923178111,0.9879463373808058,0.9284743855429696
