target,split_name,feature_set,n_features,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_split,all_features,64,logistic_regression,linear,train,230729,30408,0.1317909755600726,0.904298982789333,0.8957365630872263,0.5916243040426047,0.8841094448829255,0.7088821210563092,0.8258097267159251,181764,18557,3524,26884,0.0926363187084729,0.1158905551170744,0.9596567809244956,0.821674906800133
extreme_abs_151_h1,random_split,all_features,64,logistic_regression,linear,validation,49443,6516,0.1317881196529337,0.9060736605788484,0.8992411407159553,0.5962368908081431,0.889963167587477,0.7140746213520502,0.8289408971432823,39000,3927,717,5799,0.0914808861555664,0.110036832412523,0.961411036392918,0.8295841477353572
extreme_abs_151_h1,random_split,all_features,64,logistic_regression,linear,test,49443,6516,0.1317881196529337,0.9017454442489332,0.894405422568212,0.5840089177138225,0.8844383057090239,0.7034912109375,0.8223038949647622,38822,4105,753,5763,0.0956274605725999,0.115561694290976,0.9578007093373344,0.8177100112131803
extreme_abs_151_h1,random_split,all_features,64,random_forest,ensemble,train,230729,30408,0.1317909755600726,0.938494944285287,0.9482334106193132,0.691894450360904,0.961457511181268,0.8047011546454179,0.8841005998281424,187302,13019,1172,29236,0.064990689942642,0.0385424888187319,0.9879946750185762,0.9287163314413316
extreme_abs_151_h1,random_split,all_features,64,random_forest,ensemble,validation,49443,6516,0.1317881196529337,0.9241348623667658,0.9151748733051928,0.6535599244696212,0.9030079803560468,0.7582962819769316,0.8566512297406099,39808,3119,632,5884,0.0726582337456612,0.0969920196439533,0.9765177711220824,0.8808832648851656
extreme_abs_151_h1,random_split,all_features,64,random_forest,ensemble,test,49443,6516,0.1317881196529337,0.9196852941771332,0.909813663489102,0.6392689066433184,0.8964088397790055,0.7463106113843991,0.8493005846080142,39631,3296,675,5841,0.0767815128008013,0.1035911602209944,0.9740676253058448,0.8721408592075316
extreme_abs_151_h1,random_split,aqi_history,22,logistic_regression,linear,train,230729,30408,0.1317909755600726,0.8990373988532001,0.8875460189277031,0.5774583469454426,0.8719415943172849,0.6947840100624976,0.8171493628408479,180920,19401,3894,26514,0.0968495564618786,0.128058405682715,0.950596918803384,0.7938646256535119
extreme_abs_151_h1,random_split,aqi_history,22,logistic_regression,linear,validation,49443,6516,0.1317881196529337,0.8995611107740226,0.8898280609236778,0.5784889609074336,0.8766114180478821,0.6970103721781574,0.8184067570743385,38765,4162,804,5712,0.0969552962005264,0.1233885819521178,0.9532550928072776,0.8030550930873553
extreme_abs_151_h1,random_split,aqi_history,22,logistic_regression,linear,test,49443,6516,0.1317881196529337,0.8968509192403373,0.8859241572516724,0.571256038647343,0.8710865561694291,0.6900072939460248,0.8140698089935379,38667,4260,840,5676,0.0992382416660842,0.1289134438305709,0.9483977542327308,0.7867907932144815
extreme_abs_151_h1,random_split,aqi_history,22,random_forest,ensemble,train,230729,30408,0.1317909755600726,0.9232909603907614,0.9251120051173432,0.645401917488502,0.9275848460931334,0.7611825504985764,0.8577448352355537,184824,15497,2202,28206,0.0773608358584471,0.0724151539068666,0.9809762468340392,0.896265991139702
extreme_abs_151_h1,random_split,aqi_history,22,random_forest,ensemble,validation,49443,6516,0.1317881196529337,0.9117569726756064,0.8994550730069348,0.6151213773927923,0.8827501534683855,0.7250267851515725,0.8362362752893819,39328,3599,764,5752,0.0838400074545158,0.1172498465316145,0.966784483781716,0.8545862272205814
extreme_abs_151_h1,random_split,aqi_history,22,random_forest,ensemble,test,49443,6516,0.1317881196529337,0.909026555831968,0.8958649542130306,0.6070670628183361,0.8779926335174953,0.7178168130489335,0.8317943805316521,39224,3703,795,5721,0.0862627250914342,0.1220073664825046,0.9622668066705048,0.8421568344306374
extreme_abs_151_h1,random_split,aqi_pollutants,51,logistic_regression,linear,train,230729,30408,0.1317909755600726,0.9049534302146676,0.8957787290336132,0.5936961230714822,0.8833201789002894,0.7101123595505618,0.8266353072169099,181939,18382,3548,26860,0.0917627208330629,0.1166798210997106,0.9569972035188704,0.8172286905799905
extreme_abs_151_h1,random_split,aqi_pollutants,51,logistic_regression,linear,validation,49443,6516,0.1317881196529337,0.9074085310357382,0.8993590225403434,0.6005186721991701,0.8884284837323512,0.7166377816291161,0.8306505721876996,39076,3851,727,5789,0.0897104386516644,0.1115715162676488,0.958867115662244,0.8251117105462205
extreme_abs_151_h1,random_split,aqi_pollutants,51,logistic_regression,linear,test,49443,6516,0.1317881196529337,0.9037477499342678,0.8952981969346994,0.5900010244851962,0.8838244321669736,0.7076242550838606,0.8250077599790739,38925,4002,757,5759,0.0932280382975749,0.1161755678330263,0.9550934529407876,0.8134677040480599
extreme_abs_151_h1,random_split,aqi_pollutants,51,random_forest,ensemble,train,230729,30408,0.1317909755600726,0.936336568008356,0.9440196845513884,0.6856852599995275,0.9544527755853722,0.7980477074310854,0.8801299369676271,187017,13304,1385,29023,0.0664134064825954,0.0455472244146277,0.9864911310572,0.9211684702198644
extreme_abs_151_h1,random_split,aqi_pollutants,51,random_forest,ensemble,validation,49443,6516,0.1317881196529337,0.9212426430435048,0.9092135451503798,0.6454404260039938,0.8928790669122161,0.7492594977462975,0.8512721021530566,39731,3196,698,5818,0.0744519766114566,0.1071209330877839,0.9737294671727236,0.872155894109224
extreme_abs_151_h1,random_split,aqi_pollutants,51,random_forest,ensemble,test,49443,6516,0.1317881196529337,0.917298707602694,0.9046642194524336,0.6327825801510012,0.8875076734192756,0.7388054934525711,0.8448385819319181,39571,3356,733,5783,0.0781792345144081,0.1124923265807243,0.9703971435910806,0.8619200682351998
extreme_abs_151_h1,random_split,aqi_pollutants_meteorology,57,logistic_regression,linear,train,230729,30408,0.1317909755600726,0.9051441301266854,0.895818817529646,0.5942949455607683,0.8831557484872402,0.7104873273718186,0.8268837837288262,181988,18333,3553,26855,0.0915181134279481,0.1168442515127598,0.9578634700277378,0.8212284428400033
extreme_abs_151_h1,random_split,aqi_pollutants_meteorology,57,logistic_regression,linear,validation,49443,6516,0.1317881196529337,0.9071456020063507,0.899207602688036,0.5997099347353154,0.8884284837323512,0.7160615993567938,0.8302795514464736,39063,3864,727,5789,0.0900132783562792,0.1115715162676488,0.9595984634671024,0.8290133354696994
extreme_abs_151_h1,random_split,aqi_pollutants_meteorology,57,logistic_regression,linear,test,49443,6516,0.1317881196529337,0.9036466233845034,0.8961511696952997,0.5894425158260159,0.8859729895641498,0.7079092581238504,0.8251084752157714,38906,4021,743,5773,0.0936706501735504,0.1140270104358502,0.9560278057386472,0.8175806014338747
extreme_abs_151_h1,random_split,aqi_pollutants_meteorology,57,random_forest,ensemble,train,230729,30408,0.1317909755600726,0.936093859029424,0.9438659618439476,0.6847879946202308,0.9544198895027624,0.7974281828298232,0.8797455088935373,186962,13359,1386,29022,0.0666879658148671,0.0455801104972375,0.986643257980045,0.9221709734229904
extreme_abs_151_h1,random_split,aqi_pollutants_meteorology,57,random_forest,ensemble,validation,49443,6516,0.1317881196529337,0.9209594887041644,0.9085297855226492,0.6446959609409676,0.8916513198281154,0.7483256053580628,0.8507217412332193,39725,3202,706,5810,0.0745917487828173,0.1083486801718845,0.9737306004799244,0.872191021510806
