split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
random_split,extreme_city_p95_h3,majority_class,baseline,train,227503,13312,0.05851351410750628,0.9414864858924937,0.5,0.0,0.0,0.0,0.48493074390867885,214191,0,13312,0,0.0,1.0,0.5,0.05851351410750628
random_split,extreme_city_p95_h3,majority_class,baseline,validation,48751,2852,0.05850136407458308,0.9414986359254169,0.5,0.0,0.0,0.0,0.4849339672477549,45899,0,2852,0,0.0,1.0,0.5,0.05850136407458308
random_split,extreme_city_p95_h3,majority_class,baseline,test,48751,2852,0.05850136407458308,0.9414986359254169,0.5,0.0,0.0,0.0,0.4849339672477549,45899,0,2852,0,0.0,1.0,0.5,0.05850136407458308
random_split,extreme_city_p95_h3,logistic_regression,linear,train,227503,13312,0.05851351410750628,0.6457629130165317,0.6400423987903454,0.10023055166020964,0.6335637019230769,0.17307968560815942,0.47384168759135303,138479,75712,4878,8434,0.353478904342386,0.3664362980769231,0.6982557559972757,0.110748401010422
random_split,extreme_city_p95_h3,logistic_regression,linear,validation,48751,2852,0.05850136407458308,0.6468380135792087,0.6383239067778155,0.09988301487382319,0.6286816269284713,0.17237898380041342,0.47395204421509995,29741,16158,1059,1793,0.35203381337284034,0.37131837307152876,0.696368515944225,0.11316167230947498
random_split,extreme_city_p95_h3,logistic_regression,linear,test,48751,2852,0.05850136407458308,0.6459149555906546,0.6404644533715668,0.10034390947415132,0.6342917251051894,0.17327586206896553,0.47399404285615276,29680,16219,1043,1809,0.3533628183620558,0.36570827489481067,0.6975009340436394,0.11005816110460763
random_split,extreme_city_p95_h3,decision_tree,tree,train,227503,13312,0.05851351410750628,0.6527606229368403,0.7732837210671717,0.13470436446144948,0.9097806490384616,0.23466382484014725,0.5050505822932352,136394,77797,1201,12111,0.3632132069041183,0.09021935096153846,0.8490207797046616,0.22443564803029745
random_split,extreme_city_p95_h3,decision_tree,tree,validation,48751,2852,0.05850136407458308,0.636725400504605,0.6870482852052713,0.11108784420479531,0.7440392706872371,0.1933132914275303,0.47944639527695676,28919,16980,730,2122,0.36994270027669446,0.255960729312763,0.7522833612321608,0.15413872911359225
random_split,extreme_city_p95_h3,decision_tree,tree,test,48751,2852,0.05850136407458308,0.6325818957559844,0.684190113196586,0.10976368159203981,0.7426367461430575,0.19125880440671844,0.47677705196315967,28721,17178,734,2118,0.3742565197498856,0.2573632538569425,0.7462553077467151,0.1520730002299174
random_split,extreme_city_p95_h3,random_forest,ensemble,train,227503,13312,0.05851351410750628,0.9467259772398606,0.9492687040458341,0.5246709164665949,0.9521484375,0.6765412329863891,0.8237568979156348,202708,11483,637,12675,0.05361102940833182,0.0478515625,0.9832221259464954,0.7601565074238249
random_split,extreme_city_p95_h3,random_forest,ensemble,validation,48751,2852,0.05850136407458308,0.8963713564849952,0.6269738098349792,0.22745292368681863,0.32187938288920054,0.2665505226480836,0.6053987742469897,42781,3118,1934,918,0.06793176321924226,0.6781206171107994,0.809278112834305,0.1877543292336964
random_split,extreme_city_p95_h3,random_forest,ensemble,test,48751,2852,0.05850136407458308,0.8950995877007651,0.6228455500822634,0.22115384615384615,0.31451612903225806,0.25969889982628835,0.6016246226618913,42740,3159,1955,897,0.06882502886773133,0.6854838709677419,0.8082785631492183,0.19104243386999512
temporal_split,extreme_city_p95_h3,majority_class,baseline,train,221280,13411,0.06060647143890094,0.939393528561099,0.5,0.0,0.0,0.0,0.48437489077220264,207869,0,13411,0,0.0,1.0,0.5,0.06060647143890094
temporal_split,extreme_city_p95_h3,majority_class,baseline,validation,55320,3124,0.05647143890093999,0.94352856109906,0.5,0.0,0.0,0.0,0.48547192975929165,52196,0,3124,0,0.0,1.0,0.5,0.05647143890093999
temporal_split,extreme_city_p95_h3,majority_class,baseline,test,48405,2481,0.051255035636814376,0.9487449643631857,0.5,0.0,0.0,0.0,0.4868492192220844,45924,0,2481,0,0.0,1.0,0.5,0.051255035636814376
temporal_split,extreme_city_p95_h3,logistic_regression,linear,train,221280,13411,0.06060647143890094,0.64162147505423,0.6400594667242085,0.10311886376504319,0.6382820073074342,0.17755284063802868,0.4742238430232537,133418,74451,4851,8560,0.35816307385901697,0.3617179926925658,0.6977637039067152,0.1157207405086361
temporal_split,extreme_city_p95_h3,logistic_regression,linear,validation,55320,3124,0.05647143890093999,0.6537960954446854,0.6308552938794962,0.09541599353796446,0.6049935979513444,0.16483516483516483,0.4732371199740197,34278,17918,1234,1890,0.3432830101923519,0.39500640204865556,0.6848187343009001,0.10212519270016582
temporal_split,extreme_city_p95_h3,logistic_regression,linear,test,48405,2481,0.051255035636814376,0.6969321351100093,0.6385781481985852,0.09464582640505487,0.573559048770657,0.16248001826901118,0.48873616268962955,32312,13612,1058,1423,0.2964027523734866,0.426440951229343,0.6949100332635161,0.10144308458837685
temporal_split,extreme_city_p95_h3,decision_tree,tree,train,221280,13411,0.06060647143890094,0.655088575560376,0.7693683302551199,0.1385879243982306,0.8994109313250317,0.24016884694263585,0.5085397336895493,132896,74973,1349,12062,0.36067427081479203,0.10058906867496831,0.8451710563601014,0.22826423786240874
temporal_split,extreme_city_p95_h3,decision_tree,tree,validation,55320,3124,0.05647143890093999,0.645824295010846,0.6820045055233063,0.10760066714319752,0.7227912932138284,0.18731594010535485,0.4804442085105711,33469,18727,866,2258,0.35878228216721586,0.2772087067861716,0.7446902680863394,0.14520100169227557
