target,model,model_family,held_out_country,criterion,selected_threshold,part,validation_threshold,validation_rows,validation_events,validation_event_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_alarm_rate,validation_missed_event_rate,validation_roc_auc,validation_pr_auc,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,Ethiopia,f1,0.66,test_calibrated,,,,,,,,,,,,,,,,,,,10153.0,828.0,0.081552250566335,0.9237663744705998,0.6635671083135823,0.5509433962264151,0.3526570048309179,0.4300441826215022,0.6945977721213907,9087.0,238.0,536.0,292.0,0.0255227882037533,0.6473429951690821,0.9269343746357384,0.5332099839506457
extreme_abs_151_h1,random_forest,ensemble,Ethiopia,f1,0.66,test_default_threshold,,,,,,,,,,,,,,,,,,,10153.0,828.0,0.081552250566335,0.9137200827341672,0.7868553703487845,0.4781818181818182,0.6352657004830918,0.5456431535269709,0.7489887331461169,8751.0,574.0,302.0,526.0,0.0615549597855227,0.3647342995169082,0.9269343746357384,0.5332099839506457
extreme_abs_151_h1,random_forest,ensemble,France,f1,0.67,validation_selected,0.67,47705.0,6516.0,0.1365894560318624,0.9403836075883032,0.8868640686144562,0.7650880739243431,0.8132289748311847,0.788424341615831,0.8768639373509567,39562.0,1627.0,1217.0,5299.0,0.0395008376022724,0.1867710251688152,0.9749017804568292,0.8780379459117504,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,France,f1,0.67,test_calibrated,,,,,,,,,,,,,,,,,,,11583.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583.0,0.0,0.0,0.0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,France,f1,0.67,test_default_threshold,,,,,,,,,,,,,,,,,,,11583.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583.0,0.0,0.0,0.0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,Germany,f1,0.69,validation_selected,0.69,47877.0,6516.0,0.1360987530547026,0.9420180880172108,0.8824672994457506,0.7793546459515984,0.8006445672191529,0.7898561695685087,0.8781128105062934,39884.0,1477.0,1299.0,5217.0,0.0357099683276516,0.1993554327808471,0.9758216367351926,0.8823684527923848,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Germany,f1,0.69,test_calibrated,,,,,,,,,,,,,,,,,,,10439.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10439.0,0.0,0.0,0.0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,Germany,f1,0.69,test_default_threshold,,,,,,,,,,,,,,,,,,,10439.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10439.0,0.0,0.0,0.0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,India,f1,0.71,validation_selected,0.71,46375.0,5405.0,0.1165498652291105,0.9485067385444744,0.8765811359454595,0.7770431588613407,0.7827937095282146,0.7799078341013825,0.8753751624719367,39756.0,1214.0,1174.0,4231.0,0.0296314376372955,0.2172062904717853,0.9748476345025362,0.867491837598239,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,India,f1,0.71,test_calibrated,,,,,,,,,,,,,,,,,,,20449.0,7406.0,0.3621692992322363,0.8629272825077021,0.8506479916685972,0.8136840670573804,0.8061031596003241,0.8098758732958014,0.8513535359596958,11676.0,1367.0,1436.0,5970.0,0.1048071762631296,0.1938968403996759,0.9407638114432726,0.8929748760676951
extreme_abs_151_h1,random_forest,ensemble,India,f1,0.71,test_default_threshold,,,,,,,,,,,,,,,,,,,20449.0,7406.0,0.3621692992322363,0.847718714851582,0.8630604136644431,0.7303563761270931,0.9187145557655956,0.813778256189451,0.842486414659914,10531.0,2512.0,602.0,6804.0,0.1925937284367093,0.0812854442344045,0.9407638114432726,0.8929748760676951
extreme_abs_151_h1,random_forest,ensemble,Indonesia,f1,0.72,validation_selected,0.72,47426.0,6281.0,0.1324379032598153,0.9464639649137604,0.8870553867134241,0.7929846539304729,0.8062410444196784,0.799557906370885,0.884332095486349,39823.0,1322.0,1217.0,5064.0,0.0321302709928302,0.1937589555803216,0.9778662002224224,0.887663894987722,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Indonesia,f1,0.72,test_calibrated,,,,,,,,,,,,,,,,,,,13442.0,1568.0,0.1166493081386698,0.8702574021722957,0.5673164098888671,0.3770949720670391,0.1721938775510204,0.2364273204903677,0.5827665057736392,11428.0,446.0,1298.0,270.0,0.0375610577732861,0.8278061224489796,0.7051210327486225,0.2693545091141126
extreme_abs_151_h1,random_forest,ensemble,Indonesia,f1,0.72,test_default_threshold,,,,,,,,,,,,,,,,,,,13442.0,1568.0,0.1166493081386698,0.8277042106829341,0.6423133806326977,0.313373253493014,0.4005102040816326,0.3516237402015677,0.6261378824549362,10498.0,1376.0,940.0,628.0,0.1158834428162371,0.5994897959183674,0.7051210327486225,0.2693545091141126
