target,model,feature_set,weighting_strategy,held_out_country,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,xgboost,all_plus_local_normalization,country_class_balanced,Brazil,validation,46911,6237,0.13295389141139605,0.9256464368698173,0.8943391456176035,0.6745396825396826,0.851691518358185,0.7528344671201814,0.8545379210522498,38111,2563,925,5312,0.06301322712297783,0.14830848164181498,0.9705547858176071,0.8442375680781615
extreme_abs_151_h3,xgboost,all_plus_local_normalization,country_class_balanced,Brazil,test,12267,1135,0.0925246596559876,0.9038069617673433,0.6182451748422217,0.4655436447166922,0.26784140969162995,0.3400447427293065,0.6440837447929484,10783,349,831,304,0.03135106000718649,0.73215859030837,0.858758810968419,0.40162566813337963
extreme_abs_151_h3,xgboost,all_plus_local_normalization,country_class_balanced,China,validation,45515,6075,0.1334724815994727,0.9250357025156541,0.89136462950442,0.6749901432514128,0.8454320987654321,0.7506577024261911,0.8532721191261098,36967,2473,939,5136,0.0627028397565923,0.1545679012345679,0.9708984152622309,0.8473368588802243
extreme_abs_151_h3,xgboost,all_plus_local_normalization,country_class_balanced,China,test,21573,2215,0.10267463959579104,0.7746256895193065,0.8538286793894394,0.3073788385970019,0.9534988713318284,0.4648910411622276,0.661071474779587,14599,4759,103,2112,0.2458415125529497,0.046501128668171555,0.936145227957387,0.6321043418070895
extreme_abs_151_h3,xgboost,all_plus_local_normalization,country_class_balanced,Vietnam,validation,47144,6284,0.13329373833361616,0.9256533174953334,0.8897793945138155,0.6783926049557067,0.8408656906429026,0.7509415192212037,0.8536232248602434,38355,2505,1000,5284,0.06130690161527166,0.15913430935709738,0.9697389363877151,0.8403654816688096
extreme_abs_151_h3,xgboost,all_plus_local_normalization,country_class_balanced,Vietnam,test,10716,821,0.07661440836132885,0.8477043673012318,0.7622758821462137,0.28624143384290984,0.6613885505481121,0.3995584988962472,0.6561755303073734,8541,1354,278,543,0.13683678625568468,0.3386114494518879,0.8774098189331464,0.4635175453472075
