split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
temporal_split,extreme_abs_151_h3,majority_class,baseline,train,221280,28937,0.13077096890817064,0.8692290310918294,0.5,0.0,0.0,0.0,0.4650200786706735,192343,0,28937,0,0.0,1.0,0.5,0.13077096890817064
temporal_split,extreme_abs_151_h3,majority_class,baseline,validation,55320,7465,0.13494215473608098,0.865057845263919,0.5,0.0,0.0,0.0,0.4638236006784589,47855,0,7465,0,0.0,1.0,0.5,0.13494215473608098
temporal_split,extreme_abs_151_h3,majority_class,baseline,test,48405,6313,0.13042041111455427,0.8695795888854457,0.5,0.0,0.0,0.0,0.46512039073118444,42092,0,6313,0,0.0,1.0,0.5,0.13042041111455427
temporal_split,extreme_abs_151_h3,logistic_regression,linear,train,221280,28937,0.13077096890817064,0.8761162328271873,0.855944170908921,0.5164110957960028,0.8286277084701248,0.6362828218498322,0.7808134263065567,169889,22454,4959,23978,0.11673936665228264,0.17137229152987524,0.9336576287090149,0.7349908080353239
temporal_split,extreme_abs_151_h3,logistic_regression,linear,validation,55320,7465,0.13494215473608098,0.8796637744034708,0.8639656746634226,0.5343245539507222,0.8424648359008707,0.6539121393293476,0.790541212709365,42374,5481,1176,6289,0.1145334865740257,0.15753516409912927,0.9401751257548986,0.7625197070385875
temporal_split,extreme_abs_151_h3,logistic_regression,linear,test,48405,6313,0.13042041111455427,0.882925317632476,0.8655622333247868,0.5323452833967555,0.842071915095834,0.6523099576661144,0.7909610301800781,37422,4670,997,5316,0.11094744844626057,0.15792808490416602,0.9389255609735345,0.7549591927985202
temporal_split,extreme_abs_151_h3,decision_tree,tree,train,221280,28937,0.13077096890817064,0.8973969631236443,0.9157318791053113,0.5646563349308106,0.9405605280436811,0.7056703570224792,0.8217697254186507,171359,20984,1720,27217,0.10909676983305865,0.0594394719563189,0.973526476891609,0.8673616158809966
temporal_split,extreme_abs_151_h3,decision_tree,tree,validation,55320,7465,0.13494215473608098,0.8889190166305134,0.896506582489258,0.5540098199672667,0.9068988613529806,0.6878333756667513,0.8101362469560187,42405,5450,695,6770,0.11388569637446452,0.09310113864701942,0.9535851302875964,0.8361114560275876
temporal_split,extreme_abs_151_h3,decision_tree,tree,test,48405,6313,0.13042041111455427,0.8903005887821506,0.90063683490919,0.5475580844001897,0.9146206241089815,0.6850160161347728,0.8093005836127136,37321,4771,539,5774,0.11334695429060154,0.08537937589101853,0.9525406575857709,0.8300461073472758
temporal_split,extreme_abs_151_h3,random_forest,ensemble,train,221280,28937,0.13077096890817064,0.942159255242227,0.9485115812275173,0.7055586691802109,0.9571137298268653,0.8123066093766039,0.889059207687749,180785,11558,1241,27696,0.06009056737183053,0.04288627017313474,0.9877058585175739,0.9247915345418483
temporal_split,extreme_abs_151_h3,random_forest,ensemble,validation,55320,7465,0.13494215473608098,0.9261569052783803,0.9092110971249314,0.671608448415922,0.8860013395847287,0.764050135736152,0.8601396542150066,44621,3234,851,6614,0.06757914533486574,0.11399866041527126,0.9756257051067486,0.8800928214108165
temporal_split,extreme_abs_151_h3,random_forest,ensemble,test,48405,6313,0.13042041111455427,0.9291395516992046,0.9121298816999999,0.672779575692197,0.8891176936480278,0.7659661572052402,0.8621076495303899,39362,2730,700,5613,0.06485793024802813,0.11088230635197212,0.9753558463106597,0.8758893766753496
