target,model,model_family,feature_set,n_features,held_out_country,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Philippines,validation,46397,6495,0.1399874991917581,0.9213311205465871,0.9150763751483668,0.6593123530070557,0.9063895304080062,0.7633558091286307,0.8580899505769817,36860,3042,608,5887,0.07623678011127262,0.09361046959199384,0.9762226847616537,0.8838620170060301
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Philippines,test,20306,142,0.006993006993006993,0.989215010341771,0.5260612973616345,0.08602150537634409,0.056338028169014086,0.06808510638297872,0.5313306132256672,20079,85,134,8,0.004215433445744892,0.9436619718309859,0.8977535616396254,0.0588203492215639
