target,model,model_family,feature_set,n_features,held_out_country,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Russia,validation,47641,6331,0.13288973783085997,0.9227975903108667,0.9146904904497744,0.6509272954829901,0.9036487126836202,0.7567460317460317,0.8554319714878957,38242,3068,610,5721,0.07426773178407166,0.09635128731637972,0.9766364158702203,0.8815466835381267
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Russia,test,12012,1231,0.10248085248085248,0.9487179487179487,0.9023503981603764,0.7101845522898155,0.8440292445166532,0.771343726800297,0.8712321071882403,10357,424,192,1039,0.039328448195900194,0.15597075548334688,0.9658823014372776,0.8251749227661984
