target,split_name,feature_set,n_features,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,temporal_split,aqi_pollutants,51,logistic_regression,linear,train,221280,28937,0.13077096890817064,0.8822532537960954,0.8576981161548507,0.5321422198429693,0.8244462107336628,0.6468028575688975,0.7880765428734585,171368,20975,5080,23857,0.10904997842396136,0.17555378926633722,0.9236105817962181,0.7242448999151595
extreme_abs_151_h3,temporal_split,aqi_pollutants,51,logistic_regression,linear,validation,55320,7465,0.13494215473608098,0.884472161966739,0.8639748842209558,0.5470804839558128,0.8359008707300737,0.6613322028509353,0.795844974465383,42689,5166,1225,6240,0.10795110228816215,0.1640991292699263,0.9316372052967833,0.7509695084054233
extreme_abs_151_h3,temporal_split,aqi_pollutants,51,logistic_regression,linear,test,48405,6313,0.13042041111455427,0.8870364631752918,0.8679261029437166,0.5431695105752529,0.842071915095834,0.6603726708074534,0.7963119703931951,37621,4471,997,5316,0.10621970920840064,0.15792808490416602,0.9309571624835307,0.7420119977519012
