target,split_name,feature_set,n_features,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,temporal_split,aqi_pollutants_meteorology,57,random_forest,ensemble,train,221280,28937,0.13077096890817064,0.936352133044107,0.9387269407590075,0.6872494389954867,0.9419428413449908,0.7946878917752704,0.8785131555934342,179939,12404,1680,27257,0.06448895982697576,0.058057158655009156,0.985296479059827,0.9130563054653751
extreme_abs_151_h3,temporal_split,aqi_pollutants_meteorology,57,random_forest,ensemble,validation,55320,7465,0.13494215473608098,0.922234273318872,0.9029866609076607,0.6593450881612091,0.87662424648359,0.7526164462334675,0.8532411989880474,44474,3381,921,6544,0.07065092466826872,0.12337575351640992,0.9706715370016717,0.86552301077334
extreme_abs_151_h3,temporal_split,aqi_pollutants_meteorology,57,random_forest,ensemble,test,48405,6313,0.13042041111455427,0.9241194091519471,0.9059445250677692,0.6555136663524976,0.8813559322033898,0.7518410918181204,0.8535266623109186,39168,2924,749,5564,0.06946688206785137,0.11864406779661017,0.9711148551236058,0.863745071195308
