target,held_out_country,feature,permutation_importance_mean,permutation_importance_std,sample_rows,repeats
extreme_abs_151_h3,China,PM10_lag_3,0.00023138438669219794,0.00032475821100483483,8000,3
extreme_abs_151_h3,China,Deforestation_Rate_city_past_anomaly,0.00010889199870430429,0.0003803027433926368,8000,3
extreme_abs_151_h3,China,CO_lag_1,7.667946815418751e-05,0.0003964273032350693,8000,3
extreme_abs_151_h3,China,AQI_roll_mean_3,5.8468869709800884e-05,0.0019109236466699593,8000,3
extreme_abs_151_h3,China,industry_NO2,2.4300808588358553e-05,0.0016713811513689929,8000,3
extreme_abs_151_h3,China,O3_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,China,Wind_Speed_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,China,NO2_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,China,CO_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,China,Humidity_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,China,Deforestation_Rate_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,China,PM10_city_history_count,-1.7163475466541733e-05,1.8707092443385272e-05,8000,3
extreme_abs_151_h3,China,PM25_city_history_count,-5.582170015761001e-05,4.547390618796088e-05,8000,3
extreme_abs_151_h3,China,AQI_lag_1,-7.841103810846128e-05,0.0012127846213490405,8000,3
extreme_abs_151_h3,China,Wind_Speed_city_past_zscore,-0.00010459971702492243,0.0001401905442068853,8000,3
extreme_abs_151_h3,China,Deforestation_Rate_city_past_zscore,-0.00018965223174146248,8.685761716163768e-05,8000,3
extreme_abs_151_h3,China,Industry_Growth_%,-0.00020376425233877468,0.00016803712660628714,8000,3
extreme_abs_151_h3,China,NH3 (ug/m3),-0.00020693756334733138,0.0006938560866132509,8000,3
extreme_abs_151_h3,China,PM10_roll_mean_3,-0.0002123327071216948,0.0006890099409658,8000,3
extreme_abs_151_h3,China,Benzene (ug/m3),-0.0002941782987755011,0.0017341768764785508,8000,3
extreme_abs_151_h3,China,Xylene (ug/m3),-0.0003048923781564146,0.00027500593635775586,8000,3
extreme_abs_151_h3,China,Wind_Speed (km/h),-0.00033321590206732604,0.00015552498894719582,8000,3
extreme_abs_151_h3,China,is_aug_oct,-0.000374667809854438,0.00024154595245895336,8000,3
extreme_abs_151_h3,China,quarter,-0.0005010709941347669,0.00019678315929663604,8000,3
extreme_abs_151_h3,China,SO2 (ug/m3),-0.0006416653321836089,0.001400619127459286,8000,3
