target,held_out_country,feature,permutation_importance_mean,permutation_importance_std,sample_rows,repeats
extreme_abs_151_h3,Vietnam,NH3 (ug/m3),0.0009036588413426546,0.0005659197686089151,8000,3
extreme_abs_151_h3,Vietnam,Deforestation_Rate_city_past_zscore,0.0008711580776205041,0.00015905917817380977,8000,3
extreme_abs_151_h3,Vietnam,PM10_roll_max_3,0.000867345790867724,0.0017942952865756675,8000,3
extreme_abs_151_h3,Vietnam,Xylene (ug/m3),0.0008161652991211151,0.0015055831527782603,8000,3
extreme_abs_151_h3,Vietnam,quarter,0.0006915272872619985,0.0006147485680796311,8000,3
extreme_abs_151_h3,Vietnam,PM25_PM10_ratio,0.0006080940640310432,0.00030351547174427453,8000,3
extreme_abs_151_h3,Vietnam,PM25_roll_max_3,0.00037238375781941296,0.0007518311769065141,8000,3
extreme_abs_151_h3,Vietnam,is_aug_oct,0.00034275959663336114,0.0009713375327894695,8000,3
extreme_abs_151_h3,Vietnam,NO2_lag_1,0.00020487490683163134,0.00024558464644405456,8000,3
extreme_abs_151_h3,Vietnam,Humidity_city_past_zscore,0.00019442956017593863,0.0014519032822032621,8000,3
extreme_abs_151_h3,Vietnam,O3_lag_1,0.00016290483077476456,0.0009244018738681919,8000,3
extreme_abs_151_h3,Vietnam,AQI_lag_12,0.0001070739847314391,0.0014491206823275692,8000,3
extreme_abs_151_h3,Vietnam,Wind_Speed_city_past_anomaly,9.02812326926868e-05,0.00041978820433407417,8000,3
extreme_abs_151_h3,Vietnam,Deforestation_Rate_lag_1,5.0963965438022285e-05,0.0027582787075311477,8000,3
extreme_abs_151_h3,Vietnam,AQI_lag_2,3.015166813804167e-05,0.00016618067592471072,8000,3
extreme_abs_151_h3,Vietnam,PM10_city_history_count,1.415095080814499e-05,6.901105361748294e-06,8000,3
extreme_abs_151_h3,Vietnam,PM10_roll_std_3,1.2711912489156893e-05,0.00025540882960515214,8000,3
extreme_abs_151_h3,Vietnam,NO2_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,Vietnam,Wind_Speed_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,Vietnam,O3_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,Vietnam,CO_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,Vietnam,Humidity_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,Vietnam,Deforestation_Rate_city_history_count,0.0,0.0,8000,3
extreme_abs_151_h3,Vietnam,year,-1.440396073563536e-05,0.00015985506735696238,8000,3
extreme_abs_151_h3,Vietnam,PM25_city_history_count,-3.7878638641205185e-05,2.64817367331463e-05,8000,3
extreme_abs_151_h3,Vietnam,O3_city_past_anomaly,-0.00011668390525311952,0.0010658359959557987,8000,3
extreme_abs_151_h3,Vietnam,time_index_months,-0.00016811889179990658,0.0013143776190436471,8000,3
extreme_abs_151_h3,Vietnam,PM25_lag_1,-0.0002953969378137744,0.00033488789564120006,8000,3
extreme_abs_151_h3,Vietnam,Wind_Speed_city_past_zscore,-0.0004241692593244066,0.00022125651202029291,8000,3
extreme_abs_151_h3,Vietnam,AQI_roll_std_3,-0.000633417342167597,0.0007222735672511006,8000,3
extreme_abs_151_h3,Vietnam,Wind_Speed (km/h),-0.0006334180003003861,0.0007978352103979009,8000,3
extreme_abs_151_h3,Vietnam,PM10_lag_1,-0.0008607246668037027,0.0005984478666351955,8000,3
extreme_abs_151_h3,Vietnam,Deforestation_Rate_%,-0.0008947749813441042,0.0010878068449702582,8000,3
extreme_abs_151_h3,Vietnam,Deforestation_Rate_city_past_anomaly,-0.0017560206204661661,0.0005623254796007475,8000,3
extreme_abs_151_h3,Vietnam,CO2_Emission_MT,-0.0018252796656222,0.0011244349659369065,8000,3
extreme_abs_151_h3,Vietnam,AQI_roll_max_6,-0.002896937435306316,0.0017503760585322228,8000,3
extreme_abs_151_h3,Vietnam,PM25_roll_std_3,-0.003084368666728806,0.0011599063303990719,8000,3
extreme_abs_151_h3,Vietnam,AQI_roll_std_6,-0.003293934699900599,0.00293057913400089,8000,3
extreme_abs_151_h3,Vietnam,CO_city_past_zscore,-0.007520669288005877,0.0018968137244647434,8000,3
