target,model,model_family,feature_set,feature_regime,weighting_strategy,temperature,min_weight,max_weight,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,1.0,0.25,4.0,91,Australia,0.24855007346495228,0.982157951052194,2.142734484569272,0.48358279197104864,validation,47207,6407,0.13572139725040777,0.9443514732984515,0.8603141038294513,0.8277835587929241,0.7449664429530202,0.78419452887538,0.8761259119492718,39807,993,1634,4773,0.024338235294117647,0.2550335570469799,0.9776721099318454,0.8884438059119855
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,1.0,0.25,4.0,91,Australia,0.24855007346495228,0.982157951052194,2.142734484569272,0.48358279197104864,test,10293,1,9.71534052268532e-05,0.9999028465947731,0.5,0.0,0.0,0.0,0.49997571046878797,10292,0,1,0,0.0,1.0,0.8391954916439953,0.0006038647342995169
