dataset,target,protocol,model,stage,evaluations,countries,rows,event_rate,pr_auc,f1,recall,precision,false_alarm_rate,delta_pr_auc_vs_base,delta_f1_vs_base,delta_recall_vs_base
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,logistic_regression,Base,11,11,217,0.1450020053488953,0.2913240590562065,0.1325358851674641,0.1621212121212121,0.1568793525315264,0.2838842975206611,0.0,0.0,0.0
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,logistic_regression,Local features,11,11,217,0.1450020053488953,0.2501614066186124,0.1592056932966024,0.3090909090909091,0.2103896103896103,0.3522956841138659,-0.041162652437594094,0.0266698081291383,0.14696969696969697
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,logistic_regression,Country-class balanced,11,11,217,0.1450020053488953,0.243060141426231,0.1704665704665704,0.3833333333333333,0.1231811118174754,0.4023645546372819,-0.048263917629975506,0.037930685299106315,0.2212121212121212
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,random_forest,Base,11,11,217,0.1450020053488953,0.2853179291482708,0.1625319125319125,0.1803030303030303,0.1893939393939394,0.156198347107438,0.0,0.0,0.0
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,random_forest,Local features,11,11,217,0.1450020053488953,0.2996727753203527,0.1173998044965787,0.1075757575757575,0.1590909090909091,0.1334251606978879,0.014354846172081881,-0.04513210803533378,-0.0727272727272728
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,random_forest,Country-class balanced,11,11,217,0.1450020053488953,0.2483220140799349,0.1874347377146929,0.4666666666666666,0.1314707388571024,0.427961432506887,-0.03699591506833591,0.02490282518278042,0.2863636363636363
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,xgboost,Base,11,11,217,0.1450020053488953,0.215862326973438,0.0,0.0,0.0,0.005050505050505,0.0,0.0,0.0
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,xgboost,Local features,11,11,217,0.1450020053488953,0.2941915851638074,0.0,0.0,0.0,0.0101010101010101,0.0783292581903694,0.0,0.0
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,xgboost,Country-class balanced,11,11,217,0.1450020053488953,0.258963065980287,0.117697714471908,0.1424242424242424,0.1011363636363636,0.1786730945821854,0.04310073900684902,0.117697714471908,0.1424242424242424
