configuration,threshold_policy,countries,rows,mean_threshold,mean_pr_auc,mean_f1,mean_recall,mean_precision,false_alerts_per_100_city_months
Base,default_0.50,6,147,0.5,0.2694284110950777,0.0,0.0,0.0,0.0
Base,validation_f1,6,147,0.15833333333333333,0.2694284110950777,0.2562791375291375,0.5555555555555555,0.17014991181657846,54.629629629629626
Country-class balanced,default_0.50,6,147,0.5,0.3456205248963565,0.215779143198498,0.26111111111111107,0.18541666666666667,19.204545454545453
Country-class balanced,validation_f1,6,147,0.4666666666666666,0.3456205248963565,0.2395886670080218,0.37222222222222223,0.194760101010101,29.898989898989896
Local features,default_0.50,6,147,0.5,0.37812600208433533,0.0,0.0,0.0,0.0
Local features,validation_f1,6,147,0.14166666666666666,0.37812600208433533,0.3551968864468864,0.6805555555555555,0.3439955106621773,58.14814814814815
