dataset,feature,group,missing_rows,missing_rate
waqd2024,PM10_value_p95_roll_max_3,rolling,330,0.29281277728482696
waqd2024,PM10_value_p95_roll_mean_3,rolling,330,0.29281277728482696
waqd2024,NO2_value_p95_country_history_count,local_normalized,0,0.0
waqd2024,O3_value_p95_country_history_count,local_normalized,0,0.0
waqd2024,PM10_value_p95_country_history_count,local_normalized,0,0.0
waqd2024,PM25_value_p95_country_history_count,local_normalized,0,0.0
waqd2024,month,calendar,0,0.0
waqd2024,month_cos,calendar,0,0.0
waqd2024,month_sin,calendar,0,0.0
waqd2024,observed_pollutants,coverage,0,0.0
waqd2024,quarter,calendar,0,0.0
waqd2024,time_index_months,calendar,0,0.0
waqd2024,total_cities,coverage,0,0.0
waqd2024,total_locations,coverage,0,0.0
waqd2024,total_records,coverage,0,0.0
waqd2024,total_sources,coverage,0,0.0
waqd2024,year,calendar,0,0.0
openaq,CO_value_std,pollutant,787,0.7997967479674797
openaq,PM25_value_p95_lag_3,lag,755,0.7672764227642277
openaq,PM10_value_p95_lag_3,lag,747,0.7591463414634146
openaq,SO2_value_std,pollutant,740,0.7520325203252033
openaq,NO2_value_p95_lag_3,lag,734,0.7459349593495935
openaq,PM25_value_p95_lag_2,lag,733,0.7449186991869918
openaq,NO2_value_p95_lag_2,lag,726,0.7378048780487805
openaq,O3_value_p95_lag_3,lag,725,0.7367886178861789
openaq,PM10_value_p95_lag_2,lag,724,0.7357723577235772
openaq,PM25_value_p95_lag_1,lag,714,0.725609756097561
openaq,O3_value_p95_lag_2,lag,709,0.7205284552845529
openaq,O3_value_std,pollutant,709,0.7205284552845529
openaq,PM25_value_std,pollutant,706,0.717479674796748
openaq,PM10_value_p95_lag_1,lag,699,0.7103658536585366
openaq,PM10_value_std,pollutant,699,0.7103658536585366
openaq,NO2_value_std,pollutant,693,0.7042682926829268
openaq,NO2_value_p95_lag_1,lag,685,0.6961382113821138
openaq,O3_value_p95_lag_1,lag,680,0.6910569105691057
openaq,PM25_value_p95_country_anomaly,local_normalized,647,0.657520325203252
openaq,PM25_value_p95_country_zscore,local_normalized,647,0.657520325203252
openaq,PM25_value_p95_roll_std_3,rolling,621,0.6310975609756098
openaq,O3_value_p95_country_anomaly,local_normalized,616,0.6260162601626016
openaq,O3_value_p95_country_zscore,local_normalized,616,0.6260162601626016
openaq,PM10_value_p95_country_anomaly,local_normalized,597,0.6067073170731707
openaq,PM10_value_p95_country_zscore,local_normalized,597,0.6067073170731707
openaq,NO2_value_p95_country_anomaly,local_normalized,577,0.5863821138211383
openaq,NO2_value_p95_country_zscore,local_normalized,577,0.5863821138211383
openaq,CO_cities_count,other,572,0.5813008130081301
openaq,CO_locations_count,other,572,0.5813008130081301
openaq,CO_sources_count,other,572,0.5813008130081301
