dataset,Country,country_months,min_month,max_month,total_records,mean_records_per_month,mean_observed_pollutants,months_with_pm25,months_with_pm10
openaq,Romania,2,2022-10-01,2023-05-01,114,57.0,3.0,1,1
openaq,Serbia,2,2023-05-01,2023-06-01,297,148.5,3.5,1,1
openaq,United Arab Emirates,2,2023-07-01,2023-08-01,76,38.0,3.0,1,1
openaq,Afghanistan,1,2021-08-01,2021-08-01,1,1.0,1.0,1,0
openaq,Algeria,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,Antigua and Barbuda,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
openaq,Armenia,1,2023-06-01,2023-06-01,1,1.0,1.0,1,0
openaq,Azerbaijan,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,Bahrain,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
openaq,Belize,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,"Congo, Democratic Republic of the",1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
openaq,Egypt,1,2023-04-01,2023-04-01,1,1.0,1.0,1,0
openaq,Estonia,1,2021-09-01,2021-09-01,32,32.0,6.0,1,1
openaq,Gabon,1,2022-02-01,2022-02-01,1,1.0,1.0,1,0
openaq,Guinea,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,"Hong Kong, China",1,2023-05-01,2023-05-01,101,101.0,6.0,1,1
openaq,Kazakhstan,1,2023-08-01,2023-08-01,2,2.0,1.0,1,0
openaq,Kuwait,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,Kyrgyzstan,1,2023-08-01,2023-08-01,2,2.0,1.0,1,0
openaq,Lithuania,1,2023-08-01,2023-08-01,63,63.0,6.0,1,1
openaq,Madagascar,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,Malaysia,1,2023-08-01,2023-08-01,8,8.0,2.0,1,1
openaq,Mali,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,Morocco,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
openaq,Nepal,1,2023-08-01,2023-08-01,2,2.0,1.0,1,0
openaq,Nigeria,1,2023-08-01,2023-08-01,2,2.0,1.0,1,0
openaq,Pakistan,1,2023-06-01,2023-06-01,4,4.0,1.0,1,0
openaq,Peru,1,2023-06-01,2023-06-01,31,31.0,6.0,1,1
openaq,Philippines,1,2014-05-01,2014-05-01,1,1.0,1.0,1,0
openaq,Qatar,1,2023-06-01,2023-06-01,2,2.0,2.0,1,0
openaq,Rwanda,1,2023-06-01,2023-06-01,1,1.0,1.0,1,0
openaq,Saudi Arabia,1,2023-06-01,2023-06-01,1,1.0,1.0,1,0
openaq,Serbia and Montenegro,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
openaq,Singapore,1,2015-09-01,2015-09-01,1,1.0,1.0,1,0
openaq,Sri Lanka,1,2023-08-01,2023-08-01,1,1.0,1.0,1,0
openaq,Tajikistan,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
openaq,Trinidad and Tobago,1,2023-05-01,2023-05-01,28,28.0,6.0,1,1
openaq,USSR,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
openaq,Uzbekistan,1,2023-05-01,2023-05-01,2,2.0,2.0,1,0
openaq,Slovenia,5,2022-01-01,2023-05-01,22,4.4,1.0,0,5
openaq,Israel,4,2018-01-01,2019-04-01,441,110.25,3.75,0,0
openaq,Gibraltar,1,2018-04-01,2018-04-01,6,6.0,4.0,0,0
openaq,Russian Federation,1,2023-06-01,2023-06-01,1,1.0,1.0,0,0
waqd2024,United States,89,2014-03-01,2023-05-01,5475,61.51685393258427,4.393258426966292,87,58
waqd2024,China,33,2018-08-01,2024-03-01,11113,336.75757575757575,5.242424242424242,33,28
waqd2024,France,63,2016-11-01,2024-03-01,2028,32.19047619047619,3.4126984126984126,32,43
waqd2024,Canada,51,2016-03-01,2024-03-01,847,16.607843137254903,1.9803921568627452,29,13
waqd2024,Australia,38,2018-01-01,2024-02-01,647,17.026315789473685,2.6052631578947367,29,21
waqd2024,India,37,2016-03-01,2024-03-01,2361,63.810810810810814,3.891891891891892,29,23
waqd2024,Thailand,49,2018-02-01,2024-03-01,915,18.6734693877551,3.693877551020408,22,33
waqd2024,Mexico,39,2016-08-01,2024-03-01,1109,28.435897435897434,3.5384615384615383,22,20
waqd2024,Poland,33,2016-12-01,2024-03-01,1110,33.63636363636363,3.757575757575758,22,27
waqd2024,United Kingdom,41,2016-02-01,2024-03-01,778,18.975609756097562,2.6097560975609757,21,24
waqd2024,South Africa,26,2017-09-01,2023-05-01,1317,50.65384615384615,4.346153846153846,19,22
waqd2024,Germany,47,2016-12-01,2024-03-01,1780,37.87234042553192,2.74468085106383,18,20
waqd2024,Chile,32,2016-02-01,2024-03-01,458,14.3125,2.65625,15,18
waqd2024,Norway,29,2016-12-01,2024-03-01,215,7.413793103448276,2.1724137931034484,14,20
waqd2024,Sweden,18,2018-01-01,2024-03-01,330,18.333333333333332,2.388888888888889,11,12
waqd2024,Spain,45,2016-12-01,2024-03-01,2687,59.71111111111111,2.933333333333333,10,21
waqd2024,Colombia,14,2016-11-01,2024-03-01,146,10.428571428571429,2.5714285714285716,9,6
waqd2024,Turkey,28,2016-06-01,2023-05-01,1684,60.142857142857146,3.6785714285714284,8,20
waqd2024,Czech Republic,20,2016-12-01,2024-03-01,370,18.5,2.45,8,11
waqd2024,Italy,28,2019-04-01,2024-03-01,1957,69.89285714285714,2.75,7,14
waqd2024,Belgium,23,2016-12-01,2024-03-01,418,18.17391304347826,2.4782608695652173,7,9
waqd2024,Finland,17,2016-12-01,2024-03-01,157,9.235294117647058,2.1176470588235294,7,11
waqd2024,Brazil,12,2017-10-01,2024-03-01,253,21.083333333333332,3.5,7,8
waqd2024,Japan,8,2023-07-01,2024-03-01,3471,433.875,3.375,7,0
waqd2024,Argentina,6,2017-01-01,2024-02-01,27,4.5,1.8333333333333333,6,1
waqd2024,Austria,17,2016-12-01,2024-02-01,1067,62.76470588235294,2.9411764705882355,5,12
waqd2024,Hungary,11,2020-10-01,2024-03-01,437,39.72727272727273,3.5454545454545454,5,6
waqd2024,Ireland,10,2018-04-01,2024-03-01,88,8.8,2.2,5,2
waqd2024,Saudi Arabia,5,2019-07-01,2024-03-01,9,1.8,1.8,5,1
waqd2024,Lao People's Dem. Rep.,9,2022-03-01,2024-03-01,27,3.0,2.0,4,4
waqd2024,Iceland,8,2020-05-01,2024-03-01,61,7.625,2.25,4,4
waqd2024,Peru,8,2016-11-01,2024-03-01,118,14.75,3.375,4,3
waqd2024,Puerto Rico,6,2019-06-01,2024-03-01,9,1.5,1.5,4,2
waqd2024,Indonesia,4,2016-11-01,2024-03-01,6,1.5,1.25,4,1
waqd2024,Malaysia,4,2020-01-01,2024-03-01,12,3.0,1.5,4,2
waqd2024,Mongolia,17,2016-11-01,2024-02-01,140,8.235294117647058,1.7058823529411764,3,7
waqd2024,Bosnia and Herzegovina,12,2016-06-01,2024-02-01,87,7.25,2.4166666666666665,3,2
waqd2024,"Macedonia, The former Yugoslav Rep. of",11,2022-02-01,2024-03-01,122,11.090909090909092,2.3636363636363638,3,4
waqd2024,Russian Federation,10,2017-01-01,2024-03-01,151,15.1,2.6,3,4
waqd2024,Greece,8,2021-09-01,2024-03-01,151,18.875,2.625,3,4
waqd2024,Netherlands,7,2017-01-01,2024-03-01,193,27.571428571428573,2.0,3,3
waqd2024,Croatia,6,2017-11-01,2024-02-01,66,11.0,2.5,3,4
waqd2024,Slovakia,6,2022-04-01,2024-03-01,309,51.5,3.3333333333333335,3,4
waqd2024,Iraq,4,2023-08-01,2024-03-01,20,5.0,3.25,3,2
waqd2024,Bangladesh,3,2016-11-01,2024-03-01,15,5.0,3.0,3,1
waqd2024,Ghana,3,2024-01-01,2024-03-01,5,1.6666666666666667,1.3333333333333333,3,1
waqd2024,Kenya,3,2018-09-01,2023-11-01,5,1.6666666666666667,1.6666666666666667,3,2
waqd2024,Nicaragua,3,2022-09-01,2023-05-01,8,2.6666666666666665,1.0,3,0
waqd2024,Nigeria,3,2020-10-01,2024-03-01,3,1.0,1.0,3,0
waqd2024,"Taiwan, China",3,2017-12-01,2021-05-01,489,163.0,6.0,3,3
waqd2024,Denmark,7,2017-01-01,2024-03-01,35,5.0,2.2857142857142856,2,2
waqd2024,Bulgaria,4,2022-08-01,2024-03-01,121,30.25,4.0,2,3
waqd2024,Latvia,4,2018-07-01,2024-03-01,39,9.75,3.5,2,2
waqd2024,Malta,3,2019-08-01,2023-05-01,19,6.333333333333333,2.6666666666666665,2,1
waqd2024,Central African Republic,2,2022-09-01,2023-05-01,2,1.0,1.0,2,0
waqd2024,Egypt,2,2023-09-01,2024-03-01,2,1.0,1.0,2,0
waqd2024,Ethiopia,2,2021-09-01,2024-03-01,2,1.0,1.0,2,0
waqd2024,"Korea, Republic of",2,2021-03-01,2023-01-01,2,1.0,1.0,2,0
waqd2024,Nepal,2,2024-02-01,2024-03-01,5,2.5,1.5,2,0
waqd2024,Rwanda,2,2023-05-01,2024-03-01,3,1.5,1.5,2,1
waqd2024,United Arab Emirates,2,2023-06-01,2024-03-01,78,39.0,3.5,2,1
waqd2024,Viet Nam,2,2015-08-01,2016-11-01,3,1.5,1.0,2,0
waqd2024,Myanmar,7,2019-08-01,2024-03-01,18,2.5714285714285716,2.142857142857143,1,2
waqd2024,Switzerland,7,2018-01-01,2024-03-01,130,18.571428571428573,2.5714285714285716,1,4
waqd2024,Israel,5,2018-01-01,2021-11-01,442,88.4,3.2,1,0
waqd2024,Luxembourg,4,2018-12-01,2024-03-01,24,6.0,2.25,1,1
waqd2024,"Moldova, Republic of",3,2022-11-01,2024-03-01,3,1.0,1.0,1,0
waqd2024,Montenegro,3,2023-01-01,2024-03-01,32,10.666666666666666,2.6666666666666665,1,1
waqd2024,Portugal,3,2022-10-01,2023-06-01,205,68.33333333333333,3.0,1,3
waqd2024,Slovenia,3,2022-11-01,2024-03-01,25,8.333333333333334,3.0,1,3
waqd2024,Andorra,2,2023-04-01,2023-05-01,8,4.0,3.5,1,1
waqd2024,Bermuda,2,2021-03-01,2023-05-01,2,1.0,1.0,1,0
waqd2024,Cyprus,2,2023-09-01,2024-03-01,58,29.0,3.5,1,1
waqd2024,Ecuador,2,2021-04-01,2021-11-01,39,19.5,3.0,1,1
waqd2024,Guatemala,2,2024-01-01,2024-03-01,3,1.5,1.5,1,1
waqd2024,Jordan,2,2019-04-01,2024-03-01,15,7.5,3.0,1,0
waqd2024,Romania,2,2022-10-01,2023-05-01,114,57.0,3.0,1,1
waqd2024,Serbia,2,2023-05-01,2023-06-01,297,148.5,3.5,1,1
waqd2024,Afghanistan,1,2021-08-01,2021-08-01,1,1.0,1.0,1,0
waqd2024,Algeria,1,2024-03-01,2024-03-01,1,1.0,1.0,1,0
waqd2024,Antigua and Barbuda,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Armenia,1,2023-06-01,2023-06-01,1,1.0,1.0,1,0
waqd2024,Azerbaijan,1,2024-02-01,2024-02-01,1,1.0,1.0,1,0
waqd2024,Bahrain,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Belize,1,2024-03-01,2024-03-01,1,1.0,1.0,1,0
waqd2024,"Congo, Democratic Republic of the",1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Estonia,1,2021-09-01,2021-09-01,32,32.0,6.0,1,1
waqd2024,Gabon,1,2022-02-01,2022-02-01,1,1.0,1.0,1,0
waqd2024,"Hong Kong, China",1,2023-05-01,2023-05-01,101,101.0,6.0,1,1
waqd2024,Kazakhstan,1,2024-03-01,2024-03-01,2,2.0,1.0,1,0
waqd2024,Kuwait,1,2024-02-01,2024-02-01,1,1.0,1.0,1,0
waqd2024,Kyrgyzstan,1,2024-03-01,2024-03-01,1,1.0,1.0,1,0
waqd2024,Lithuania,1,2024-03-01,2024-03-01,63,63.0,6.0,1,1
waqd2024,Madagascar,1,2024-03-01,2024-03-01,1,1.0,1.0,1,0
waqd2024,Morocco,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Mozambique,1,2024-01-01,2024-01-01,2,2.0,2.0,1,0
waqd2024,New Zealand,1,2024-03-01,2024-03-01,24,24.0,4.0,1,1
waqd2024,Pakistan,1,2024-03-01,2024-03-01,5,5.0,1.0,1,0
waqd2024,Philippines,1,2024-03-01,2024-03-01,1,1.0,1.0,1,0
