dataset,target,protocol,model,model_family,feature_regime,weighting_strategy,countries,rows,mean_threshold,median_threshold,mean_event_rate,mean_precision,mean_recall,mean_f1,mean_roc_auc,mean_pr_auc,mean_false_alarm_rate
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,logistic_regression,linear,base,none,11,217,0.5272727272727272,0.5,0.1450020053488953,0.16611493082081316,0.18484848484848485,0.1450174825174825,0.45100542461653575,0.29132405905620656,0.29467401285583106
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,logistic_regression,linear,local,country_class_balanced,11,217,0.36818181818181817,0.45,0.1450020053488953,0.09106449106449106,0.3151515151515152,0.1320219741272373,0.42698279087167973,0.243060141426231,0.5162764003673095
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,logistic_regression,linear,local,none,11,217,0.4318181818181818,0.4,0.1450020053488953,0.0606060606060606,0.2727272727272727,0.0958041958041958,0.4331743359521137,0.25016140661861247,0.45307621671258036
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,random_forest,ensemble,base,none,11,217,0.45,0.45,0.1450020053488953,0.1314935064935065,0.29393939393939394,0.1613093099259107,0.5054573512906847,0.28531792914827087,0.3026629935720844
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,random_forest,ensemble,local,none,11,217,0.44090909090909086,0.45,0.1450020053488953,0.11862583049748826,0.3015151515151515,0.14776334776334776,0.4917929292929293,0.2996727753203527,0.407208448117539
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,random_forest,ensemble,local,country_class_balanced,11,217,0.5272727272727272,0.6,0.1450020053488953,0.09717714502403497,0.32575757575757575,0.1173160173160173,0.45690703329592214,0.24832201407993493,0.3175390266299357
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,xgboost,boosting,local,none,11,217,0.14545454545454548,0.15,0.1450020053488953,0.19241860390185747,0.4621212121212121,0.20283466533466532,0.5188552188552189,0.2941915851638074,0.5079430670339762
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,xgboost,boosting,base,none,11,217,0.1409090909090909,0.15,0.1450020053488953,0.10365433786486418,0.4848484848484848,0.1602431659249841,0.4458380097268986,0.21586232697343807,0.5928833792470156
waqd2024,PM25_p95_rel_p90_h1,leave_one_country_out,xgboost,boosting,local,country_class_balanced,11,217,0.4636363636363636,0.55,0.1450020053488953,0.11128328741965104,0.29393939393939394,0.1402541054493516,0.43282828282828284,0.25896306598028707,0.29577594123048667
