scenario,threshold_policy,dataset,target,model,model_family,feature_regime,weighting_strategy,countries,rows,events,mean_threshold,mean_event_rate,mean_precision,mean_recall,mean_f1,mean_pr_auc,mean_false_alarm_rate,configuration,pooled_event_rate,false_alerts_per_100_city_months
minimum_support,default_0.50,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,6,147,31,0.5,0.23382790049456711,0.20969065656565655,0.5222222222222223,0.28648749533407986,0.3174234973103786,0.48324915824915826,Country-class balanced,0.2108843537414966,48.32491582491583
minimum_support,default_0.50,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,6,147,31,0.5,0.23382790049456711,0.2916666666666667,0.1972222222222222,0.21523297491039425,0.3950219834933495,0.16338383838383838,Local features,0.2108843537414966,16.338383838383837
minimum_support,default_0.50,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,6,147,31,0.5,0.23382790049456711,0.0,0.0,0.0,0.2694284110950777,0.0,Base,0.2108843537414966,0.0
minimum_support,default_0.50,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,6,147,31,0.5,0.23382790049456711,0.18541666666666667,0.26111111111111107,0.215779143198498,0.3456205248963565,0.19204545454545452,Country-class balanced,0.2108843537414966,19.204545454545453
minimum_support,default_0.50,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,6,147,31,0.5,0.23382790049456711,0.0,0.0,0.0,0.37812600208433533,0.0,Local features,0.2108843537414966,0.0
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,6,147,31,0.5750000000000001,0.23382790049456711,0.3045440398381575,0.33888888888888885,0.2658653846153846,0.3880442896425109,0.24957912457912457,Base,0.2108843537414966,24.957912457912457
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,6,147,31,0.45,0.23382790049456711,0.15769230769230766,0.41111111111111115,0.2244964262508122,0.3063891539382883,0.45324074074074067,Country-class balanced,0.2108843537414966,45.32407407407407
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,6,147,31,0.5750000000000001,0.23382790049456711,0.09722222222222221,0.3333333333333333,0.15,0.3263003109861197,0.37567340067340066,Local features,0.2108843537414966,37.56734006734007
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,6,147,31,0.4666666666666666,0.23382790049456711,0.22916666666666666,0.3722222222222222,0.2735115126419474,0.3711587119042244,0.32516835016835016,Base,0.2108843537414966,32.51683501683502
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,6,147,31,0.5750000000000001,0.23382790049456711,0.15656565656565655,0.2638888888888889,0.17460317460317457,0.3174234973103786,0.2488215488215488,Country-class balanced,0.2108843537414966,24.88215488215488
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,6,147,31,0.45,0.23382790049456711,0.20767676767676768,0.38611111111111107,0.2523809523809524,0.3950219834933495,0.4153198653198653,Local features,0.2108843537414966,41.53198653198653
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,6,147,31,0.15833333333333333,0.23382790049456711,0.17014991181657846,0.5555555555555555,0.2562791375291375,0.2694284110950777,0.5462962962962963,Base,0.2108843537414966,54.629629629629626
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,6,147,31,0.4666666666666666,0.23382790049456711,0.194760101010101,0.37222222222222223,0.2395886670080218,0.3456205248963565,0.298989898989899,Country-class balanced,0.2108843537414966,29.898989898989896
minimum_support,validation_f1,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,6,147,31,0.14166666666666666,0.23382790049456711,0.3439955106621773,0.6805555555555555,0.3551968864468864,0.37812600208433533,0.5814814814814815,Local features,0.2108843537414966,58.14814814814815
