target,model,model_family,feature_set,feature_regime,weighting_strategy,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,France,0.29473021079139144,1.0,11.882143296348636,1.2704337111936446,validation,47705,6516,0.13658945603186248,0.9208468713971282,0.8917637207309235,0.6638755980861244,0.8517495395948435,0.7461683248184996,0.8496406478688072,38379,2810,966,5550,0.06822209813299668,0.14825046040515655,0.9694794270690467,0.8429943586957374
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,France,0.29473021079139144,1.0,11.882143296348636,1.2704337111936446,test,11583,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583,0,0,0,0.0,0.0,,
