target,split_name,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,random_split,random_forest,ensemble,train,227503,29901,0.13143123387383904,0.9434996461585122,0.9495227653990259,0.7118955873213176,0.9576937226179727,0.8167013661124262,0.8916519717695783,186013,11589,1265,28636,0.05864819181992085,0.04230627738202736,0.9880175753354762,0.9266688117244546
extreme_abs_151_h3,random_split,random_forest,ensemble,validation,48751,6407,0.1314229451703555,0.9282066008902381,0.908402049527765,0.6732626057933008,0.8815358201966599,0.7634495809678291,0.860565503370525,39603,2741,759,5648,0.0647317211411298,0.11846417980334009,0.9740491791594725,0.8677117643494529
extreme_abs_151_h3,random_split,random_forest,ensemble,test,48751,6407,0.1314229451703555,0.9246374433344957,0.9064136807078952,0.6595446584938705,0.8816918994849383,0.7546086027250868,0.8550457287222913,39428,2916,758,5649,0.06886453806914793,0.11830810051506165,0.9734719799343311,0.8687633540042234
