Country_Code,Country,Date,CO_cities_count,NO2_cities_count,O3_cities_count,PM10_cities_count,PM25_cities_count,SO2_cities_count,CO_locations_count,NO2_locations_count,O3_locations_count,PM10_locations_count,PM25_locations_count,SO2_locations_count,CO_sources_count,NO2_sources_count,O3_sources_count,PM10_sources_count,PM25_sources_count,SO2_sources_count,CO_units_count,NO2_units_count,O3_units_count,PM10_units_count,PM25_units_count,SO2_units_count,CO_value_count,NO2_value_count,O3_value_count,PM10_value_count,PM25_value_count,SO2_value_count,CO_value_max,NO2_value_max,O3_value_max,PM10_value_max,PM25_value_max,SO2_value_max,CO_value_mean,NO2_value_mean,O3_value_mean,PM10_value_mean,PM25_value_mean,SO2_value_mean,CO_value_median,NO2_value_median,O3_value_median,PM10_value_median,PM25_value_median,SO2_value_median,CO_value_p90,NO2_value_p90,O3_value_p90,PM10_value_p90,PM25_value_p90,SO2_value_p90,CO_value_p95,NO2_value_p95,O3_value_p95,PM10_value_p95,PM25_value_p95,SO2_value_p95,CO_value_std,NO2_value_std,O3_value_std,PM10_value_std,PM25_value_std,SO2_value_std,total_records,observed_pollutants,total_locations,total_cities,total_sources
AU,Australia,2020-01-01,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.2,0.0,0.041,23.2,21.3,0.0,0.915,0.0,0.041,18.6,11.133333333333333,0.0,0.915,0.0,0.041,18.6,9.0,0.0,1.143,0.0,0.041,22.28,18.84,0.0,1.1715,0.0,0.041,22.74,20.07,0.0,0.4030508652763321,,,6.505382386916238,9.285652014443215,,10,6,8,2,8
AU,Australia,2020-02-01,0.0,,,,0.0,,1.0,,,,7.0,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,7.0,,0.0,,,,12.4,,0.0,,,,3.6314285714285717,,0.0,,,,1.5,,0.0,,,,8.620000000000003,,0.0,,,,10.509999999999996,,,,,,4.342393458955666,,8,2,8,0,2
AU,Australia,2020-03-01,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,66.3,,,,,,66.3,,,,,,66.3,,,,,,66.3,,,,,,66.3,,,,,,,,,1,1,1,0,1
AU,Australia,2020-06-01,,,,0.0,0.0,,,,,2.0,2.0,,,,,2.0,2.0,,,,,1.0,1.0,,,,,2.0,2.0,,,,,14.7,8.6,,,,,13.399999999999999,5.449999999999999,,,,,13.399999999999999,5.449999999999999,,,,,14.44,7.97,,,,,14.569999999999999,8.285,,,,,1.8384776310850226,4.4547727214752495,,4,2,4,0,4
AU,Australia,2020-07-01,,,,,0.0,,,,,,3.0,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,,,,11.2,,,,,,6.1000000000000005,,,,,,3.6,,,,,,9.68,,,,,,10.439999999999998,,,,,,4.417012565071555,,3,1,3,0,1
AU,Australia,2020-08-01,,,,0.0,0.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,2.8,1.2,,,,,2.8,1.2,,,,,2.8,1.2,,,,,2.8,1.2,,,,,2.8,1.2,,,,,,,,2,2,2,0,2
AU,Australia,2020-09-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.88,,,,,,0.88,,,,,,0.88,,,,,,0.88,,,,,,0.88,,,,,,,,1,1,1,0,1
AU,Australia,2020-12-01,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.023,,,,,,0.023,,,,,,0.023,,,,,,0.023,,,,,,0.023,,,,,,,,,,1,1,1,0,1
AU,Australia,2021-01-01,,,,,0.0,,,,,,4.0,,,,,,1.0,,,,,,1.0,,,,,,4.0,,,,,,2.2,,,,,,1.92,,,,,,2.115,,,,,,2.2,,,,,,2.2,,,,,,0.4537987806653225,,4,1,4,0,1
AU,Australia,2021-03-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.65,,,,,,0.65,,,,,,0.65,,,,,,0.65,,,,,,0.65,,,,,,,,1,1,1,0,1
