Country_Code,Country,Date,CO_cities_count,NO2_cities_count,O3_cities_count,PM10_cities_count,PM25_cities_count,SO2_cities_count,CO_locations_count,NO2_locations_count,O3_locations_count,PM10_locations_count,PM25_locations_count,SO2_locations_count,CO_sources_count,NO2_sources_count,O3_sources_count,PM10_sources_count,PM25_sources_count,SO2_sources_count,CO_units_count,NO2_units_count,O3_units_count,PM10_units_count,PM25_units_count,SO2_units_count,CO_value_count,NO2_value_count,O3_value_count,PM10_value_count,PM25_value_count,SO2_value_count,CO_value_max,NO2_value_max,O3_value_max,PM10_value_max,PM25_value_max,SO2_value_max,CO_value_mean,NO2_value_mean,O3_value_mean,PM10_value_mean,PM25_value_mean,SO2_value_mean,CO_value_median,NO2_value_median,O3_value_median,PM10_value_median,PM25_value_median,SO2_value_median,CO_value_p90,NO2_value_p90,O3_value_p90,PM10_value_p90,PM25_value_p90,SO2_value_p90,CO_value_p95,NO2_value_p95,O3_value_p95,PM10_value_p95,PM25_value_p95,SO2_value_p95,CO_value_std,NO2_value_std,O3_value_std,PM10_value_std,PM25_value_std,SO2_value_std,total_records,observed_pollutants,total_locations,total_cities,total_sources,year,month,quarter,time_index_months,month_sin,month_cos,future_PM25_value_p95_h1,future_PM10_value_p95_h1,future_PM25_value_p95_h3,future_PM10_value_p95_h3,PM25_p95_rel_p90_threshold,PM25_p95_rel_p90_history_count,PM25_p95_rel_p90_h1,PM25_p95_rel_p90_h3,PM10_p95_rel_p90_threshold,PM10_p95_rel_p90_history_count,PM10_p95_rel_p90_h1,PM10_p95_rel_p90_h3,PM25_value_p95_lag_1,PM10_value_p95_lag_1,O3_value_p95_lag_1,NO2_value_p95_lag_1,PM25_value_p95_lag_2,PM10_value_p95_lag_2,O3_value_p95_lag_2,NO2_value_p95_lag_2,PM25_value_p95_lag_3,PM10_value_p95_lag_3,O3_value_p95_lag_3,NO2_value_p95_lag_3,PM25_value_p95_roll_mean_3,PM25_value_p95_roll_max_3,PM25_value_p95_roll_std_3,PM10_value_p95_roll_mean_3,PM10_value_p95_roll_max_3,PM10_value_p95_roll_std_3,PM25_value_p95_country_anomaly,PM25_value_p95_country_zscore,PM25_value_p95_country_history_count,PM10_value_p95_country_anomaly,PM10_value_p95_country_zscore,PM10_value_p95_country_history_count,O3_value_p95_country_anomaly,O3_value_p95_country_zscore,O3_value_p95_country_history_count,NO2_value_p95_country_anomaly,NO2_value_p95_country_zscore,NO2_value_p95_country_history_count
AU,Australia,2020-01-01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.2,0.0,0.041,23.2,21.3,0.0,0.915,0.0,0.041,18.6,12.2,0.0,0.915,0.0,0.041,18.6,12.2,0.0,1.143,0.0,0.041,22.28,19.48,0.0,1.1715,0.0,0.041,22.74,20.39,0.0,0.4030508652763321,,,6.505382386916238,12.869343417595166,,9,6,7,1,7,2020,1,1,70,0.49999999999999994,0.8660254037844387,10.509999999999996,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,-0.009099999999999976,-1.1021333082087557,4.0
AU,Australia,2020-02-01,0.0,,,,0.0,,1.0,,,,7.0,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,7.0,,0.0,,,,12.4,,0.0,,,,3.631428571428572,,0.0,,,,1.5,,0.0,,,,8.620000000000003,,0.0,,,,10.509999999999996,,,,,,4.342393458955666,,8,2,8,0,2,2020,2,1,71,0.8660254037844386,0.5000000000000001,,66.3,,,,4,,,,3,,,20.39,22.74,0.041,0.0,,,,,,,,,20.39,20.39,,22.74,22.74,,0.07999999999999652,0.008242444027340822,3.0,,,3.0,,,2.0,,,5.0
AU,Australia,2020-03-01,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,66.3,,,,,,66.3,,,,,,66.3,,,,,,66.3,,,,,,66.3,,,,,,,,,1,1,1,0,1,2020,3,1,72,1.0,6.123233995736766e-17,,,8.285,14.57,,4,,,,4,,,10.509999999999996,,,,20.39,22.74,0.041,0.0,,,,,15.45,20.39,6.986214998123093,22.74,22.74,,,,4.0,51.85333333333333,6.875713256455061,3.0,,,2.0,,,5.0
AU,Australia,2020-06-01,,,,0.0,0.0,,,,,2.0,2.0,,,,,2.0,2.0,,,,,1.0,1.0,,,,,2.0,2.0,,,,,14.7,8.6,,,,,13.4,5.449999999999999,,,,,13.4,5.449999999999999,,,,,14.44,7.97,,,,,14.57,8.285,,,,,1.8384776310850224,4.4547727214752495,,4,2,4,0,4,2020,6,2,75,1.2246467991473532e-16,-1.0,10.439999999999998,,0.88,,,5,,,,5,,,,,,,,,,,,66.3,,,15.45,20.39,6.986214998123093,44.519999999999996,66.3,30.80157138848601,-2.164999999999999,-0.27318950908425066,4.0,-12.839999999999996,-0.48183983197738034,4.0,,,2.0,,,5.0
AU,Australia,2020-07-01,,,,,0.0,,,,,,3.0,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,,,,11.2,,,,,,6.099999999999999,,,,,,3.6,,,,,,9.68,,,,,,10.439999999999998,,,,,,4.417012565071555,,3,1,3,0,1,2020,7,3,76,-0.4999999999999997,-0.8660254037844388,1.2,2.8,,,15.45,6,0,,,5,,,8.285,14.57,,,,,,,,,,,9.397499999999997,10.509999999999996,1.5733125881400647,40.435,66.3,36.5786337907801,0.42299999999999827,0.061029052940989814,5.0,,,5.0,,,2.0,,,5.0
AU,Australia,2020-08-01,,,,0.0,0.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,2.8,1.2,,,,,2.8,1.2,,,,,2.8,1.2,,,,,2.8,1.2,,,,,2.8,1.2,,,,,,,,2,2,2,0,2,2020,8,3,77,-0.8660254037844384,-0.5000000000000004,0.88,,,,14.462000000000002,7,0,,44.519999999999996,6,,,10.439999999999998,,,,8.285,14.57,,,,,,,9.362499999999999,10.439999999999998,1.5238151134570082,40.435,66.3,36.5786337907801,-8.8875,-1.433053664534678,6.0,-22.042,-0.926859269382829,5.0,,,2.0,,,5.0
AU,Australia,2020-09-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.88,,,,,,0.88,,,,,,0.88,,,,,,0.88,,,,,,0.88,,,,,,,,1,1,1,0,1,2020,9,3,78,-1.0,-1.8369701987210297e-16,,,,,13.473999999999997,8,,,44.519999999999996,6,,,1.2,2.8,,,10.439999999999998,,,,8.285,14.57,,,6.641666666666666,10.439999999999998,4.83423296225299,8.685,14.57,8.322646814565665,-7.937857142857141,-1.2058127605936593,7.0,,,6.0,,,2.0,,,5.0
AU,Australia,2020-12-01,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.023,,,,,,0.023,,,,,,0.023,,,,,,0.023,,,,,,0.023,,,,,,,,,,1,1,1,0,1,2020,12,4,81,-2.4492935982947064e-16,1.0,2.2,,0.65,,13.473999999999997,8,0,0,44.519999999999996,6,,,,,,,,,,,0.88,,,,4.173333333333333,10.439999999999998,5.429450555381578,2.8,2.8,,,,8.0,,,6.0,,,2.0,,,5.0
AU,Australia,2021-01-01,,,,,0.0,,,,,,4.0,,,,,,1.0,,,,,,1.0,,,,,,4.0,,,,,,2.2,,,,,,1.92,,,,,,2.115,,,,,,2.2,,,,,,2.2,,,,,,0.4537987806653225,,4,1,4,0,1,2021,1,1,82,0.49999999999999994,0.8660254037844387,,,6.6,26.525,12.485999999999999,9,,0,44.519999999999996,6,,0,,,0.023,,,,,,,,,,1.04,1.2,0.22627416997972985,2.8,2.8,,-5.6256249999999985,-0.838421492999587,8.0,,,6.0,,,3.0,,,5.0
AU,Australia,2021-03-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,0.65,,,,,,0.65,,,,,,0.65,,,,,,0.65,,,,,,0.65,,,,,,,,1,1,1,0,1,2021,3,1,84,1.0,6.123233995736766e-17,6.6,26.525,,,11.497999999999994,10,0,,44.519999999999996,6,0,,,,,,2.2,,,,,,0.023,,1.54,2.2,0.9333809511662509,,,,-6.550555555555555,-0.9999982557476051,9.0,,,6.0,,,3.0,,,5.0
