target,model,model_family,held_out_country,criterion,selected_threshold,part,validation_threshold,validation_rows,validation_events,validation_event_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_alarm_rate,validation_missed_event_rate,validation_roc_auc,validation_pr_auc,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,xgboost,boosting,Thailand,f1,0.34,validation_selected,0.34,47292.0,6400.0,0.13532944261185825,0.9407510784064959,0.8939105601340116,0.7561948162916547,0.8296875,0.7912382655341976,0.8783573600163042,39180.0,1712.0,1090.0,5310.0,0.04186637973197691,0.1703125,0.975336541988653,0.8811593588745098,,,,,,,,,,,,,,,,,
extreme_abs_151_h3,xgboost,boosting,Thailand,f1,0.34,test_calibrated,,,,,,,,,,,,,,,,,,,9729.0,51.0,0.005242059821153253,0.9839654640764725,0.5530888734911199,0.05128205128205128,0.11764705882352941,0.07142857142857142,0.5316707398355921,9567.0,111.0,45.0,6.0,0.011469311841289522,0.8823529411764706,0.9302035341931771,0.04199382219293044
extreme_abs_151_h3,xgboost,boosting,Thailand,f1,0.34,test_default_threshold,,,,,,,,,,,,,,,,,,,9729.0,51.0,0.005242059821153253,0.9927022304450611,0.4989667286629469,0.0,0.0,0.0,0.498168876050962,9658.0,20.0,51.0,0.0,0.0020665426741062203,1.0,0.9302035341931771,0.04199382219293044
