target,model,model_family,held_out_country,criterion,selected_threshold,part,validation_threshold,validation_rows,validation_events,validation_event_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_alarm_rate,validation_missed_event_rate,validation_roc_auc,validation_pr_auc,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,random_forest,ensemble,Thailand,f1,0.6,validation_selected,0.6,47292.0,6400.0,0.13532944261185825,0.9368603569314049,0.8923856056808177,0.7361649142224682,0.83140625,0.7808922805987673,0.8720040235940127,38985.0,1907.0,1079.0,5321.0,0.04663503863836447,0.16859375,0.9725858091130295,0.8691532187744758,,,,,,,,,,,,,,,,,
extreme_abs_151_h3,random_forest,ensemble,Thailand,f1,0.6,test_calibrated,,,,,,,,,,,,,,,,,,,9729.0,51.0,0.005242059821153253,0.97574262514133,0.6367261101588807,0.06976744186046512,0.29411764705882354,0.11278195488721804,0.5502425822789571,9478.0,200.0,36.0,15.0,0.020665426741062202,0.7058823529411765,0.9496351133964642,0.05569362214037801
extreme_abs_151_h3,random_forest,ensemble,Thailand,f1,0.6,test_default_threshold,,,,,,,,,,,,,,,,,,,9729.0,51.0,0.005242059821153253,0.9612498715181417,0.6782028372415302,0.0546448087431694,0.39215686274509803,0.09592326139088729,0.5380619405531192,9332.0,346.0,31.0,20.0,0.03575118826203761,0.6078431372549019,0.9496351133964642,0.05569362214037801
